14.4334 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [3840, 2160]. Using actual size
18.3345 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

18.3351 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([ 0.6078, -0.2784, -0.2784]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001F1EA109AF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001F1EADE5FA0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([3840, 2160]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
18.3355 	EXP 	window1: mouseVisible = True
18.3356 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
18.3356 	EXP 	window1: recordFrameIntervals = False
18.5998 	EXP 	window1: recordFrameIntervals = True
18.6549 	WARNING 	t of last frame was 26.65ms (=1/37)
18.6801 	WARNING 	t of last frame was 25.14ms (=1/39)
18.7373 	WARNING 	t of last frame was 38.45ms (=1/26)
18.7644 	WARNING 	t of last frame was 27.13ms (=1/36)
18.7920 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
21.3364 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

24.5357 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
24.5358 	EXP 	window1: recordFrameIntervals = False
24.8012 	EXP 	window1: recordFrameIntervals = True
26.7146 	EXP 	Screen (0) actual frame rate measured at 35.78Hz
26.7146 	EXP 	window1: recordFrameIntervals = True
26.8083 	EXP 	Created instructions = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.03, italic=False, languageStyle='LTR', name='instructions', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
