frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
1300,0,0,0,3,,,,,,,,,1300,30,left,40.97108053013217,None,None,None,left,1,1.1012509998399764,40.51579380012117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
850,0,1,1,2,,,,,,,,,850,30,right,47.21726183004212,47.45156319998205,47.18857600004412,47.5184661000967,up,0,3.0166084999218583,44.76082450011745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
5000,0,2,2,4,,,,,,,,,5000,30,up,53.66437232999597,None,54.623372399946675,54.927557199960575,up,1,3.104692599736154,52.224911500001326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
200,0,3,3,0,,,,,,,,,200,30,left,56.89085123005789,None,None,None,left,1,1.3488167999312282,56.429335500113666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
450,0,4,4,1,,,,,,,,,450,30,up,62.227825829922224,62.447836300125346,None,None,up,1,1.9706714998465031,60.76740329992026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,right,1000,30,0.0013930605843148849,0,0,-1,10,79.67048463008832,None,77.61607390013523,77.92488540010527,78.61360100004822,78.91496059997007,79.608390300069,79.9335793000646,right,1,2.2839304998051375,77.68626550002955,None,None,None,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,up,1000,30,0.0013930605843148849,0,0,-1,10,82.5496098300675,82.76453780010343,81.4847045999486,81.81806179997511,82.486052100081,82.79555359994993,None,None,up,1,1.3465585997328162,81.55112219997682,None,None,None,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,right,1000,10,0.00013930605843148847,-1,0,-1,-10,86.44339473003056,None,84.39424100005999,84.72352929995395,85.3990120999515,85.72375519992784,86.41470890003256,86.74398829997517,up,0,2.539727399824187,84.4543457000982,None,86.96446310007013,None,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,15,0.000247725095402395,1,1,1,5,89.52715373008978,None,88.46316240006126,88.79900930006988,89.46281290007755,89.79740529996343,None,None,up,1,1.7334673998411745,88.52404900011607,None,None,None,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,right,1000,15,0.000247725095402395,1,1,1,5,93.80253133007791,94.02157280012034,91.72879680013284,92.05337730003521,92.73378970008343,93.06715709995478,93.73939449992031,94.05127630010247,right,1,2.4672606999520212,91.78987769992091,None,94.28852810012177,None,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,right,1000,5,7.833755350540742e-05,-1,2,-1,-5.0,97.79685892995913,98.01523130014539,95.76622200012207,96.10256449994631,96.77451090002432,97.10236910008825,97.76817309996113,98.07593749999069,right,1,2.376618799753487,95.80231519998051,None,None,None,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,left,1000,5,7.833755350540742e-05,-1,2,-1,-5.0,99.72705392998178,99.94960779999383,99.6666964001488,99.977285400033,100.66699269996025,100.97157360007986,101.67686869995669,102.00763630005531,left,1,5.520538099808618,99.72943140007555,None,102.23735060007311,None,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,right,1000,0.0,4.405244365040069e-05,-1,2,-1,-5.0,108.81100453010295,None,106.74092200002633,107.05855660000816,107.74746900005266,108.06180980009958,108.75232119997963,109.07977219996974,right,1,2.6129323998466134,106.7972679999657,None,109.31485710013658,None,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,up,1000,0.0,4.405244365040069e-05,-1,2,-1,-5.0,111.94302773003001,112.16930870013312,110.88555070012808,111.21556010004133,111.88506880006753,112.19773070001975,None,None,up,1,1.6614196998998523,110.94871439994313,None,None,None,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,left,1000,-5.0,2.4772509540239506e-05,-1,2,-1,-5.0,114.14750393007417,114.36512070009485,114.08520800014958,114.3962813001126,115.09754689992405,115.42154629994184,116.09017070010304,116.42223439994268,right,0,2.5697847998235375,114.15181900002062,None,116.65750650013797,None,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,up,1000,-2.5,3.303467240037979e-05,1,3,1,2.5,119.26584202998784,None,118.22417180007324,118.5597403999418,119.20567000005394,119.52794599998742,None,None,left,0,1.6152819998096675,118.25848140008748,None,None,None,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,right,1000,0.0,4.405244365040069e-05,1,3,1,2.5,123.40976462995168,None,121.35810249997303,121.69469100004062,122.35926349996589,122.6649047001265,123.3526616001036,123.672622699989,right,1,3.312116599874571,121.42493360000663,None,123.91119930008426,None,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,left,1000,0.0,4.405244365040069e-05,1,3,1,2.5,126.29204973012675,126.51132020005025,126.23518970003352,126.54207800002769,127.24579590000212,127.56783429998904,128.23702350002714,128.56173610012047,up,0,4.601309000048786,126.29619590006769,None,128.79812639998272,None,,,,,,,rehvhf,001,0,fr,2022-05-11_11h39.12.698,3-AFC_adaptive_staircase_mess,2022.1.1,35.51196894551821,
