practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.rt,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tFeedback.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,92.23535400000401,None,567,40,0.006099267302654233,1.01393186673522,None,None,0,94.24239410017617,95.25078430003487,None,1,93.25286080013029,94.2616083000321,"['space', 'space']",0,"[0.004251099890097976, 0.724486299790442]",95.25078430003487,None,96.27277756674836,None,,,,,,,,,,,,,,,,,,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.0074653667397797,None,None,0,97.29787150002085,98.32270600018091,None,1,96.28986140014604,97.29787150002085,['space'],0,[0.1001228999812156],98.32270600018091,None,99.3582906667764,None,,,,,,,,,,,,,,,,,,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0069306665100157,None,['space'],1,100.35692319995724,101.3681283001788,None,1,99.37023520004004,100.37660520011559,None,1,,101.3681283001788,None,102.41033240011893,None,[0.4353283999953419],,,,,,,,,,,,,,,,,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,0,0,0,0,111.1002226001583,None,,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.011233600089326501,None,['space'],1,[0.3229957998264581],112.18118240009062,113.20189420017414,None,1,113.20189420017414,None,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.007406699704006314,0.19957239972427487,['space'],1,[0.2872798000462353],115.28816390014254,116.30548610002734,None,1,116.30548610002734,115.28816390014254,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.008338900050148368,None,['space'],1,[0.36470800009556115],119.20999460015446,120.20534360012971,None,1,120.20534360012971,119.20999460015446,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.011511833406984806,None,None,0,,121.54937560018152,122.55793890007772,None,1,122.55793890007772,121.54937560018152,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.010368866845965385,0.2050040669273585,None,0,,124.07645640010014,125.0827689000871,None,1,125.0827689000871,124.07645640010014,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,10,0.0001527460556607757,False,0.016422200249508023,None,None,0,,126.2005955001805,127.19948850013316,None,1,127.19948850013316,126.2005955001805,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10]], 'y': [[1], [1], [1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,30,0.001527460556607757,False,0.015485300216823816,None,['space'],1,[0.39912569988518953],128.39189710002393,129.40035800007172,None,1,129.40035800007172,128.39189710002393,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, 30]], 'y': [[1], [1], [1], [-1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,10,0.00023657562948074026,False,0.010330300079658628,None,['space'],1,[0.64067959995009],131.7183463999536,132.7424667000305,None,1,132.7424667000305,131.7183463999536,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, 30], [2000, 10]], 'y': [[1], [1], [1], [-1], [-1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",2000,-10,2.3657562948074015e-05,False,0.011598900193348527,None,None,0,,134.29844509996474,135.3026004000567,None,1,135.3026004000567,134.29844509996474,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, 30], [2000, 10], [2000, -10]], 'y': [[1], [1], [1], [-1], [-1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.013300733407959342,None,None,0,,137.43709340016358,138.46725039999,None,1,138.46725039999,137.43709340016358,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, 30], [2000, 10], [2000, -10]], 'y': [[1], [1], [1], [-1], [-1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",3000,10,0.00017336842522626576,False,0.004568400327116251,0.19253310025669634,['space'],1,[0.358961199875921],141.15263730008155,142.14873800007626,None,1,142.14873800007626,141.15263730008155,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, 30], [2000, 10], [2000, -10], [3000, 10]], 'y': [[1], [1], [1], [-1], [-1], [1], [1], [-1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",3000,-10,1.7336842522626584e-05,False,0.013172200182452798,None,None,0,,144.8035226999782,145.83256769995205,None,1,145.83256769995205,144.8035226999782,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1500, 10], [1500, 30], [2000, 10], [2000, -10], [3000, 10], [3000, -10]], 'y': [[1], [1], [1], [-1], [-1], [1], [1], [-1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",4000,10,0.00026544222211549425,False,0.009575100149959326,None,['space'],1,[0.2791766996961087],147.74387770006433,148.77763270004652,None,1,148.77763270004652,147.74387770006433,,rehvhf,001,fr,200,2022-05-11_10h53.05.814,Bayesian,2022.1.1,None,
