tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,Audiogram_time,Audiogram_frequency,Audiogram_none,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,16.059125800151378,None,none,1000,30,0.0013930605843148849,False,1,"[0.7154798634666768, 0.5159042299769028, 0.7226424786586453, 0.5276957860373157]","[6459.8467779044595, 6745.811034449819, 139.1871107103062, 239.1307896224364]",None,"[30, 30, 30, 30]",46.61461720010266,49.504314000019804,49.504314000019804,50.70487290015444,['space'],1,[0.8998487999197096],49.504314000019804,51.2514194000978,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
1,0,1,0,,,,,,,,,,,time,2500,30,0.002716251657462167,False,1,"[0.5794976590306239, 0.5794976590306239, 0.5794976590306239, 0.5794976590306239]","[131.99828950984812, 493.47753524108526, 979.9889814670839, 2868.7133610281976]",None,"[30, 30, 30, 30]",58.846371500054374,61.52413669996895,61.52413669996895,62.732024600030854,['space'],1,[0.896348999813199],61.52413669996895,63.31137440004386,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
2,0,2,0,,,,,,,,,,,time,6000,30,0.003664122665694519,True,1,"[0.4239387779271808, 0.4239387779271808, 0.4239387779271808, 0.4239387779271808]","[3698.7163665108346, 4133.685416627132, 545.7090182775096, 2836.267531193167]",None,"[30, 30, 30, 30]",66.45710590016097,68.66190479998477,68.66190479998477,69.86179240001366,None,1,,68.66190479998477,70.29473230009899,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
3,0,3,0,,,,,,,,,,,none,440,30,0.0023562289915021436,False,1,"[0.6446022852486791, 0.6657265466771592, 0.7608235782800356, 0.7887102890101625]","[6854.021571066324, 131.93256821621114, 156.2844085997981, 3025.446311978174]",None,"[30, 30, 30, 30]",75.6609098999761,78.65240869997069,78.65240869997069,79.86752480012365,['space'],1,[1.1282842000946403],78.65240869997069,80.64868029998615,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
4,0,4,0,,,,,,,,,,,time,250,30,0.005296268625886445,True,1,"[0.7654173222326621, 0.7654173222326621, 0.7654173222326621, 0.7654173222326621]","[6897.279254454751, 350.6117240504761, 2566.6622418055026, 334.3715480990342]",None,"[30, 30, 30, 30]",85.37132400018163,88.59167300001718,88.59167300001718,89.79281100002117,None,1,,88.59167300001718,90.57858680002391,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.73000600002706,None,space,67.58674109983258,95.73000600002706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.38065210008062,164.40449730004184,164.84518667995,None,165.32955568013713,165.5451095001772,165.830307880044,166.05044679995626,166.3478404801339,None,164.73114050016738,166.53714610007592,166.83115888000466,167.0508761999663,166.53714610007592,167.3491957001388,b,2.8820488997735083,167.53787330002524,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.53787330002524,None,170.48556530009955,171.49773699999787,171.93751148004085,172.15605140011758,172.2440151801333,172.46426800009795,172.94322828003206,None,173.33914578016848,173.5670390999876,171.8458483000286,173.65104070003144,173.93808948001825,174.15782560012303,173.65104070003144,174.4567790001165,space,1.9351955000311136,174.66103820013814,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.66103820013814,None,176.6611133001279,177.68962320010178,178.13250937997364,178.35872320015915,178.60926848007367,178.8296156001743,179.12705027996563,179.34680290007964,179.61026118006558,179.82674950012006,178.01502829999663,179.82674950012006,180.11082348003984,180.3312605000101,179.82674950012006,180.64983840007335,space,1.1468843000475317,180.82537490013056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
,,,,0,0,0,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.82537490013056,None,182.02667070017196,183.0548813000787,183.4981883800123,183.72525610006414,183.78145788013936,184.0013508000411,184.4829863799736,184.70173920015804,184.88229597997852,185.10215279995464,183.38226080010645,185.19482550001703,185.4744853799697,None,185.19482550001703,186.01935110008344,186.1944735001307,None,187.23144680005498,None,217.2588659999892,None,356.86709442700857,7.299892230202929,0.00020335363801351862,1,"[0.498742657841336, 0.42781642020184496, 0.686131673311619, 0.5441237599452896]","[566.4912011062682, 504.68628490335556, 449.62436428340953, 400.5697697847545]",Tone,"[12.122965761949544, 12.0, 12.746699646986363, 13.139930138205095]",False,218.24113250011578,220.86836660001427,220.86836660001427,222.09202960017137,['space'],1,[0.08740970003418624],3.1864271198865026,4.203838220098987,None,1,None,1,,,,,,rehvhf,001,fr,0,0,2022-05-11_11h05.37.614,Cluster,2022.1.1,36.13552268322738,
