frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
450,0,0,0,1,,,,,,,,,450,30,up,53.34956246667231,None,None,None,up,1,2.223064100020565,51.85364009998739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
200,0,1,1,0,,,,,,,,,200,30,up,61.532762466642694,None,None,None,up,1,1.9543455999810249,60.05868969997391,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
5000,0,2,2,4,,,,,,,,,5000,30,right,71.76487336663219,None,71.74820669996552,72.07895639992785,right,1,2.8964994000270963,69.2911692999769,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
1300,0,3,3,3,,,,,,,,,1300,30,left,75.40706926660302,None,None,None,left,1,1.0394122999859974,74.9566376999719,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
850,0,4,4,2,,,,,,,,,850,30,up,79.00344536669242,None,None,None,up,1,1.7851689000381157,77.53891839995049,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,left,1000,30,0.0013930605843148849,0,0,-1,10,88.97040696657884,None,88.92314680002164,89.24801079998724,None,None,None,None,left,1,0.3571505999425426,88.98307419999037,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,right,1000,30,0.0013930605843148849,0,1,-1,10,None,None,90.85573339997791,91.17729000002146,None,None,None,None,left,0,0.47522589995060116,90.91215509991162,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,left,1000,40,0.004405244365040069,1,2,1,2.5,92.95054886659297,None,92.90505619999021,93.23446409997996,None,None,None,None,left,1,0.5050795000279322,92.96299839997664,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,left,1000,40,0.004405244365040069,1,2,1,2.5,95.03515346668816,None,94.98894299997482,95.31858439999633,None,None,None,None,left,1,0.4971394999884069,95.05057239998132,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,up,1000,35.0,0.002477250954023951,-1,3,-1,-10,98.0944955666239,None,97.06188960000873,97.38312859996222,98.07782889995724,98.40253790002316,None,None,up,1,1.3887041000416502,97.11878389993217,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,left,1000,35.0,0.002477250954023951,-1,3,-1,-10,100.05754596664725,100.27675039996393,100.04087929998059,100.36107729992364,None,None,None,None,left,1,0.42505229997914284,100.06699740001932,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,up,1000,25.0,0.0007833755350540744,-1,3,-1,-10,103.03019636666092,None,101.99479639995843,102.31816209992394,103.01352969999425,103.34210849995725,None,None,up,1,1.5577786000212654,102.05460799997672,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,right,1000,25.0,0.0007833755350540744,-1,3,-1,-10,107.16651846660922,107.38784450001549,105.13008989999071,105.4556322999997,106.1258727000095,106.44966799998656,107.11824869993143,107.44324809999671,right,1,2.2443368000676855,105.19142029993236,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,left,1000,15.0,0.000247725095402395,-1,3,-1,-10,108.98063086666322,None,108.93485700001474,109.26878239994403,None,None,None,None,left,1,0.3922981000505388,108.99492959992494,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,right,1000,15.0,0.000247725095402395,-1,3,-1,-10,112.95438736660095,None,110.90584859997034,111.22846140002366,111.89710810000543,112.22092569991946,112.9095347999828,113.24206119996961,right,1,2.3894032000098377,110.96568819996901,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,right,1000,5.0,7.833755350540742e-05,-1,3,-1,-10,116.90510056662994,None,114.85712689999491,115.17550789995585,115.87274339993019,116.19540129997768,116.85985379992053,117.1823798000114,right,1,2.2986311999848112,114.91281889996026,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,left,1000,5.0,7.833755350540742e-05,-1,3,-1,-10,118.79214676662038,None,118.74672249995638,119.08177139994223,None,None,None,None,left,1,0.5332636999664828,118.80677419994026,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,up,1000,-5.0,2.4772509540239506e-05,-1,3,-1,-10,121.88168286666429,None,120.84332250000443,121.17376739997417,121.86501619999763,122.19849949993659,122.83631619997323,123.15748109994456,up,1,4.934738299925812,120.90163470001426,None,123.39472029998433,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,right,1000,-5.0,2.4772509540239506e-05,-1,3,-1,-10,129.40393526660435,None,127.35394259996247,127.6794090999756,128.34249479998834,128.66704059997573,129.35955769999418,129.69087419996504,up,0,4.612244699965231,127.41465769999195,None,129.89639439992607,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,left,1000,0.0,4.405244365040069e-05,1,4,1,5,133.60832646658335,None,133.56421779992525,133.89586619997863,None,None,None,None,left,1,0.5487077999860048,133.62393100000918,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,up,1000,0.0,4.405244365040069e-05,1,4,1,5,136.70931416663032,None,135.6756955999881,135.99663129996043,136.69264749996364,137.0265898000216,137.69556509994436,None,up,1,1.941960999974981,135.7339053999167,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,right,1000,-10.0,1.3930605843148848e-05,-1,5,-1,-10,None,None,139.18424309999682,139.5057944,None,None,None,None,left,0,0.43180369993206114,139.24339979991782,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,left,1000,-5.0,2.4772509540239506e-05,1,6,1,5,141.22437096661113,None,141.17805300001055,141.50351339997724,142.17445910000242,142.49671659991145,143.1658466999652,143.4860675999662,up,0,3.0644295000238344,141.2357658999972,None,143.72188139997888,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,[],[],10,up,1500,30,0.001527460556607757,0,0,-1,10,150.84934006660868,None,149.80356009991374,150.1364346999908,150.80383330001496,151.12873180001043,None,None,up,1,1.4958280000137165,149.85989049996715,None,None,None,up,3.9284142999676988,145.37957440002356,None,145.37957440002356,None,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,left,1500,30,0.001527460556607757,0,0,-1,10,152.90724176663596,None,152.89057509996928,153.21474610001314,None,None,None,None,left,1,0.4658750999951735,152.92257739999332,None,None,None,,,,,,,tlvjds,001,0,fr,2022-05-06_11h19.43.838,3-AFC_adaptive_staircase_mess,2022.1.1,None,
