tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_time,Audiogram_frequency,Audiogram_none,Audiogram_both,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,13.912764700013213,None,frequency,1000,30,0.0013930605843148849,False,1,"[0.7435940395126286, 0.6145345898148262, 0.42238150624029014, 0.5340299794587957]","[2519.8420997897465, 2000.0000000000002, 1587.4010519681997, 1259.9210498948732]",Major_3rd,"[30, 30, 30, 30]",33.28515599993989,35.974555199965835,35.974555199965835,37.192428400041535,['space'],1,[0.6486380000133067],35.974555199965835,37.72302589996252,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlvjds,001,fr,0,0,2022-05-06_11h58.32.052,Cluster,2022.1.1,36.03090732281718,
1,0,1,0,,,,,,,,,,,both,2500,30,0.002716251657462167,False,1,"[0.41407100352661913, 0.41407100352661913, 0.41407100352661913, 0.41407100352661913]","[992.1256574801249, 1250.0000000000002, 1574.9013123685916, 1984.2513149602494]",Major_3rd,"[30, 30, 30, 30]",44.5361825999571,46.72315860004164,46.72315860004164,47.93743829999585,['space'],1,[0.7318596999393776],46.72315860004164,48.35014939995017,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlvjds,001,fr,0,0,2022-05-06_11h58.32.052,Cluster,2022.1.1,36.03090732281718,
2,0,2,0,,,,,,,,,,,time,6000,30,0.003664122665694519,True,1,"[0.49233429036849014, 0.49233429036849014, 0.49233429036849014, 0.49233429036849014]","[3993.1527976463813, 3043.5698897525167, 2661.111147956925, 726.7393442425351]",None,"[30, 30, 30, 30]",52.685548300039954,55.07522829994559,55.07522829994559,56.28280689998064,None,1,,55.07522829994559,56.758139400044456,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlvjds,001,fr,0,0,2022-05-06_11h58.32.052,Cluster,2022.1.1,36.03090732281718,
3,0,3,0,,,,,,,,,,,frequency,440,30,0.0023562289915021436,False,1,"[0.7070668361694865, 0.7895079177349467, 0.7054655410409821, 0.7077117967992617]","[277.182630976872, 311.12698372208087, 349.2282314330038, 391.99543598174927]",Tone,"[30, 30, 30, 30]",59.792299299966544,62.92214849998709,62.92214849998709,64.14594550000038,['space'],1,[1.205438300035894],62.92214849998709,64.85102529998403,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlvjds,001,fr,0,0,2022-05-06_11h58.32.052,Cluster,2022.1.1,36.03090732281718,
4,0,4,0,,,,,,,,,,,none,250,30,0.005296268625886445,True,1,"[0.46409923022635224, 0.6460273999245691, 0.4582677785958502, 0.5895600837110558]","[2073.990858848363, 480.1331124755047, 1547.570119314961, 296.8625315200344]",None,"[30, 30, 30, 30]",67.21873840002809,69.72124250000343,69.72124250000343,70.94897669996135,None,1,,69.72124250000343,71.53424149996135,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlvjds,001,fr,0,0,2022-05-06_11h58.32.052,Cluster,2022.1.1,36.03090732281718,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.39949199999683,None,space,28.455133799929172,73.39949199999683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlvjds,001,fr,0,0,2022-05-06_11h58.32.052,Cluster,2022.1.1,36.03090732281718,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.91449570003897,102.93642049992923,103.39553058001911,None,103.87320758000715,None,104.37145837995922,None,104.86889027996222,105.0866957999533,103.28230720001739,105.0866957999533,105.37555617996259,None,105.0866957999533,105.90075249993242,space,1.2022509999806061,106.07694539998192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlvjds,001,fr,0,0,2022-05-06_11h58.32.052,Cluster,2022.1.1,36.03090732281718,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.07694539998192,None,107.33650770003442,108.36174900003243,108.79342337994603,109.00668079999741,109.08916877995944,109.31063750002068,109.805051680014,110.01457110000774,110.18644027999835,110.40760629996657,108.7064776000334,110.49212319997605,110.7852109799278,111.00609799998347,110.49212319997605,111.30116849998012,space,0.891189599991776,111.50800929998513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlvjds,001,fr,0,0,2022-05-06_11h58.32.052,Cluster,2022.1.1,36.03090732281718,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.50800929998513,None,112.44881940004416,113.47060020000208,113.93042727996362,114.1492283999687,114.41035287996056,114.62162190000527,114.91077727993252,115.12184110004455,115.42201018001651,115.64571339997929,113.81608509994112,115.64571339997929,115.91151567996712,116.12230829999316,115.64571339997929,116.4656387999421,space,0.8438939000479877,116.61035029997583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tlvjds,001,fr,0,0,2022-05-06_11h58.32.052,Cluster,2022.1.1,36.03090732281718,
,,,,0,0,0,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.61035029997583,None,117.49239499995019,118.51549539994448,118.94505657994887,119.16656639997382,119.24941818002844,119.46714550000615,119.94840427994495,None,120.36452548002126,120.5847237999551,118.859168499941,120.64070580003317,120.96597237995593,121.18742590001784,120.64070580003317,121.44449509994593,121.64190369995777,None,122.69760900002439,None,135.20423140004277,None,1192.4481896674686,3.1676491859747076,7.503032653256251e-05,1,"[0.5837716749921822, 0.5837716749921822, 0.5837716749921822, 0.5837716749921822]","[1892.8935106957151, 1686.3764022549792, 1502.390575071078, 1338.4778374769505]",Tone,"[5.0, 6.0, 7.454713098789001, 8.781215544860745]",False,136.19107129995245,138.96968119998928,138.96968119998928,140.16736249998212,['space'],1,[0.32247939996887],3.378573519876227,4.386407519807108,None,1,None,1,,,,,,,,,,,,,tlvjds,001,fr,0,0,2022-05-06_11h58.32.052,Cluster,2022.1.1,36.03090732281718,
