frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
1300,0,0,0,3,,,,,,,,,1300,30,up,64.83053623003653,None,None,None,left,0,2.027996400021948,63.335551299969666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsbvqq,001,0,fr,2022-05-04_16h37.56.149,3-AFC_adaptive_staircase_mess,2022.1.1,36.32703192029937,
5000,0,1,1,4,,,,,,,,,5000,30,up,None,None,None,None,left,0,1.3231010000454262,68.50464199995622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsbvqq,001,0,fr,2022-05-04_16h37.56.149,3-AFC_adaptive_staircase_mess,2022.1.1,36.32703192029937,
200,0,2,2,0,,,,,,,,,200,30,left,77.92927862998332,None,None,None,left,1,1.392287600087002,77.4602158999769,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsbvqq,001,0,fr,2022-05-04_16h37.56.149,3-AFC_adaptive_staircase_mess,2022.1.1,36.32703192029937,
450,0,3,3,1,,,,,,,,,450,30,right,87.05653413004475,None,87.00073359999806,87.32395560003351,right,1,3.308613899978809,84.58341920003295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsbvqq,001,0,fr,2022-05-04_16h37.56.149,3-AFC_adaptive_staircase_mess,2022.1.1,36.32703192029937,
850,0,4,4,2,,,,,,,,,850,30,right,93.77526493001497,None,93.74775450001471,94.06894809997175,right,1,3.2840622999938205,91.327906099963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsbvqq,001,0,fr,2022-05-04_16h37.56.149,3-AFC_adaptive_staircase_mess,2022.1.1,36.32703192029937,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,up,1000,30,0.0013930605843148849,0,0,-1,10,106.43919013001724,None,105.37131700001191,105.67764979996718,106.3780826999573,106.70903939998243,107.38290830003098,None,up,1,2.060698000015691,105.43168779998086,None,None,None,,,,,,,tsbvqq,001,0,fr,2022-05-04_16h37.56.149,3-AFC_adaptive_staircase_mess,2022.1.1,36.32703192029937,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,left,1000,30,0.0013930605843148849,0,0,-1,10,109.04201332995436,109.25580879999325,108.98150410002563,109.28847400005907,109.97850590001326,None,None,None,left,1,1.1312106000259519,109.04863440000918,None,None,None,,,,,,,tsbvqq,001,0,fr,2022-05-04_16h37.56.149,3-AFC_adaptive_staircase_mess,2022.1.1,36.32703192029937,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,right,1000,10,0.00013930605843148847,-1,0,-1,-10,113.73445052994649,None,111.67762680002488,111.98361350002233,112.67347399995197,112.98470859997906,113.67515959998127,113.99596149998251,right,1,2.7772675999440253,111.73870989994612,None,114.23751530004665,None,,,,,,,tsbvqq,001,0,fr,2022-05-04_16h37.56.149,3-AFC_adaptive_staircase_mess,2022.1.1,36.32703192029937,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,left,1000,10,0.00013930605843148847,-1,0,-1,-10,116.05552143001697,116.26648969994858,115.99306270002853,116.29949250002392,116.99460029997863,None,None,None,left,1,0.9975756000494584,116.06215230003,None,None,None,,,,,,,tsbvqq,001,0,fr,2022-05-04_16h37.56.149,3-AFC_adaptive_staircase_mess,2022.1.1,36.32703192029937,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,-1,0,-1,-10,118.58438963004156,None,118.5568792000413,118.86889459996019,119.56831969995983,119.89572360005695,120.56357660004869,120.89830510003958,up,0,2.979199600056745,118.592279399978,None,121.10373029997572,None,,,,,,,tsbvqq,001,0,fr,2022-05-04_16h37.56.149,3-AFC_adaptive_staircase_mess,2022.1.1,36.32703192029937,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,up,1000,5,7.833755350540742e-05,1,1,1,5,124.10143163000467,124.3211865000194,123.07404029997997,123.40776289999485,124.04301280004438,124.3388222999638,125.07585969998036,125.41191539994907,up,1,2.448842199984938,123.10684320004657,None,125.59988703000127,None,,,,,,,tsbvqq,001,0,fr,2022-05-04_16h37.56.149,3-AFC_adaptive_staircase_mess,2022.1.1,36.32703192029937,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,up,1000,5,7.833755350540742e-05,1,1,1,5,128.09734292995418,None,127.0495020999806,127.36243920004927,128.0366962000262,128.366722799954,None,None,up,1,1.6935248000081629,127.10975409997627,None,None,None,,,,,,,tsbvqq,001,0,fr,2022-05-04_16h37.56.149,3-AFC_adaptive_staircase_mess,2022.1.1,36.32703192029937,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,right,1000,-5,2.4772509540239506e-05,-1,2,-1,-5.0,132.36154093003134,132.57984929997474,130.31408789998386,130.64562840003055,131.31405919999816,131.6466668000212,132.33403050003108,132.66703739995137,right,1,3.6269543999806046,130.37723480002023,None,132.87954959995113,None,,,,,,,tsbvqq,001,0,fr,2022-05-04_16h37.56.149,3-AFC_adaptive_staircase_mess,2022.1.1,36.32703192029937,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,left,1000,-5,2.4772509540239506e-05,-1,2,-1,-5.0,135.54510883000913,None,135.48243520001415,135.81509769998956,136.51155789999757,136.81399060005788,137.4800245000515,137.81004769995343,right,0,2.7537706000730395,135.55347749998327,None,138.04969130002428,None,,,,,,,tsbvqq,001,0,fr,2022-05-04_16h37.56.149,3-AFC_adaptive_staircase_mess,2022.1.1,36.32703192029937,
