tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,Catch trial answer,feedback.rt,Audiogram_time,Audiogram_none,Audiogram_frequency,Audiogram_both,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,17.850912699941546,None,both,1000,30,0.0013930605843148849,False,1,"[0.6951308859819973, 0.6951308859819973, 0.6951308859819973, 0.6951308859819973]","[198.42513149602496, 297.3017787506803, 445.4493590701697, 667.4199270850172]",Perfect_5th,"[30, 30, 30, 30]",44.08765400003176,47.091975199989974,47.091975199989974,48.31825100001879,['space'],1,[0.5560372999170795],47.091975199989974,48.9997555000009,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
1,0,1,0,,,,,,,,,,,both,2500,30,0.002716251657462167,False,1,"[0.7081559399416173, 0.7081559399416173, 0.7081559399416173, 0.7081559399416173]","[6299.605249474367, 5000.000000000001, 3968.502629920499, 3149.802624737183]",Major_3rd,"[30, 30, 30, 30]",51.81401550001465,54.85418399993796,54.85418399993796,56.06262809992768,['space'],1,[0.8892596000805497],54.85418399993796,56.788358699996024,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
2,0,2,0,,,,,,,,,,,time,6000,30,0.003664122665694519,True,0,"[0.6152521547410507, 0.6152521547410507, 0.6152521547410507, 0.6152521547410507]","[467.7210286723614, 1512.76359516815, 399.78339515897676, 5262.688974073633]",None,"[30, 30, 30, 30]",59.4021346999798,62.170819199993275,62.170819199993275,63.393661899957806,['space'],0,[0.8212324999039993],62.170819199993275,63.985719299991615,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
3,0,3,0,,,,,,,,,,,none,440,30,0.0023562289915021436,False,1,"[0.6635691600989266, 0.7409152725810515, 0.7467847757013237, 0.5973605655336476]","[295.5161893898501, 2074.497451154612, 621.6200760618245, 150.0141090705198]",None,"[30, 30, 30, 30]",67.71327069995459,70.78185729996767,70.78185729996767,72.01460080000106,['space'],1,[1.0104243999812752],70.78185729996767,72.60362970002461,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
4,0,4,0,,,,,,,,,,,both,250,30,0.005296268625886445,True,1,"[0.6261102410343029, 0.6261102410343029, 0.6261102410343029, 0.6261102410343029]","[629.9605249474366, 500.00000000000006, 396.8502629920499, 314.9802624737183]",Major_3rd,"[30, 30, 30, 30]",75.27943799993955,78.09720239997841,78.09720239997841,79.3006461999612,None,1,,78.09720239997841,79.94993649993557,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.99983709992375,None,space,38.59137520007789,81.99983709992375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.64934350003023,121.65941009996459,122.12594838996884,122.34711470000912,122.63748518992216,122.85796860000119,123.15239698996302,123.37278650002554,123.64283828993794,None,122.03897849994246,123.82896569999866,124.14114928999916,None,123.82896569999866,124.65906769991852,space,1.967069200007245,124.83363290003035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.83363290003035,None,126.84759469993878,127.84835909993853,128.316190990014,128.53290569991805,128.61700518997387,128.83273090003058,129.32794458998833,129.5522115000058,129.7326319899643,129.95260620000772,128.2167766999919,130.01259719999507,130.30734628995415,None,130.01259719999507,130.8367962000193,space,0.8341427000705153,131.03722079994623,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.03722079994623,None,131.92667660000734,132.9502005999675,133.4192372900201,None,133.90097108993214,134.1165177000221,134.4011424899567,134.61818749993108,134.8996690900298,135.11185530002695,133.29110789997503,135.11185530002695,135.43163609001786,135.65560529998038,135.11185530002695,135.92251309996936,space,0.8310661999275908,136.12776850000955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
,,,,0,0,0,0,0,0,0,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.12776850000955,None,137.0139212999493,138.01289010001346,138.48085568994284,138.69720159994904,138.78130658993032,138.99828870000783,139.46857858994045,139.69529389997479,139.8745572899701,None,138.36520479992032,140.16369730001315,140.4741625899682,140.6944917999208,140.16369730001315,140.98526420001872,141.1562426999444,None,142.20518139994238,None,146.0018573999405,None,1178.2986716317437,8.0,0.00012938768272862113,0,"[0.6691297290655457, 0.6691297290655457, 0.6691297290655457, 0.6691297290655457]","[3279.4714310877953, 1551.4627490840103, 3603.9356247291803, 3843.041777312818]",None,"[9.977041029447504, 16.0, 8.94859108714806, 8.0]",False,147.00292370002717,150.0546636999352,150.0546636999352,151.28732070000842,None,0,3.711669219774194,4.718084919848479,None,1,['space'],0,[0.39364819996990263],,,,,,,tsbvqq,001,fr,0,0,2022-05-04_16h54.43.372,Cluster,2022.1.1,34.987042549916396,
