sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_time,Audiogram_both,Audiogram_none,Audiogram_frequency,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,23.013226100010797,None,34.24021349998657,None,0.5833333333333334,36.54962720000185,None,1.4087001159096757,frequency,158.0,11.307026457814834,0.0015766477098781543,0,29,[],0.02290735999122262,None,None,37.57039040001109,None,0.22485205996781588,1.6335521758774916,37.77987500000745,None,,,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
0,0,0,0,1,0,1,0,,,,,,,,1.3120563876761944,frequency,236.0,13.447237701063282,0.0009166405849726959,0,30,[],0.019142959965392947,None,None,39.18719580001198,39.18719580001198,0.21646566002164036,1.5285220476978347,39.40720830007922,39.18719580001198,,,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
0,0,0,0,2,0,2,0,,,,,,,,1.4471544967775305,frequency,354.0,18.0,0.0007029517838246072,0,31,[],0.023660660022869706,None,None,40.71147690003272,40.71147690003272,0.22919126006308943,1.67634575684062,40.92551029997412,40.71147690003272,,,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
0,0,0,0,3,0,3,0,,,,,,,,2.269731162630687,frequency,530.0,17.692246316790524,0.000511869357438274,0,32,[],0.02348716009873897,None,None,42.368065700051375,42.368065700051375,0.22955786006059498,2.499289022691282,42.57973370002583,42.368065700051375,,,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
0,0,0,0,4,0,4,0,,,,,,,,1.220889296206189,frequency,,,,1,32,[],0.02387025987263769,None,['space'],44.84925450000446,44.84925450000446,0.22680445993319154,1.4476937561393806,45.063520599971525,44.84925450000446,[-0.7473063999786973],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
0,0,0,0,5,0,5,0,,,,,,,,2.2174433178636077,frequency,1190.0,15.595950760991016,0.00031318252226524853,0,33,[],0.022002159850671887,None,None,46.27755170001183,46.27755170001183,0.22239445988088846,2.439837777744496,46.49872170004528,46.27755170001183,,,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
0,0,0,0,6,0,6,0,,,,,,,,2.664838898650417,frequency,1783.0,14.080403985678432,0.0003288699106810969,0,34,[],0.023575559840537608,None,['space'],48.71005090000108,48.71005090000108,0.2330815598834306,2.8979204585338474,48.92744310002308,48.71005090000108,[-1.5837026999797672],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
0,0,0,0,7,0,7,0,,,,,,,,2.3264712829390257,frequency,2671.0,11.297183788098533,0.0002763599609343858,0,35,[],0.021941160084679723,None,['space'],51.582647699979134,51.582647699979134,0.22355956002138555,2.5500308429604113,51.80348300002515,51.582647699979134,[-1.928199400077574],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
0,0,0,0,8,0,8,0,,,,,,,,1.5297845209483378,frequency,4002.0,10.145094268080475,0.00027035606572823733,0,36,[],0.023512759944424033,None,['space'],54.12690859998111,54.12690859998111,0.23257975990418345,1.7623642808525213,54.336910300073214,54.12690859998111,[-2.1687904000282288],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
1,0,1,0,0,0,0,0,,,,,0.5833333333333334,62.0701301000081,None,2.0481251345830755,frequency,141.0,8.747354286173628,0.001588552040363823,0,37,[],0.024185260059311986,None,None,63.10076060006395,None,0.22497615998145193,2.2731012945645275,63.30731619999278,None,,55.87022659997456,None,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
1,0,1,0,1,0,1,0,,,,,,,,1.8463769490444606,frequency,,,,1,37,[],0.02306005998980254,None,None,65.35452789999545,65.35452789999545,0.22918975993525237,2.075566708979713,65.57145450008102,65.35452789999545,,,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
1,0,1,0,2,0,2,0,,,,,,,,1.8432741410108293,frequency,318.0,10.547930195811428,0.0003295514347298703,0,38,[],0.024636860005557537,None,None,67.41542430000845,67.41542430000845,0.22986665996722877,2.073140800978058,67.63208320003469,67.41542430000845,,,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
1,0,1,0,3,0,3,0,,,,,,,,2.482513335487988,frequency,477.0,14.374774816273439,0.00038000956328610163,0,39,[],0.019802459981292486,None,None,69.46945059997961,69.46945059997961,0.21858215995598584,2.701095495443974,69.68949110002723,69.46945059997961,,,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
1,0,1,0,4,0,4,0,,,,,,,,2.6462944749262416,frequency,715.0,9.495919070874098,0.00013043207790249648,0,40,[],0.023183359997346997,None,['space'],72.17086339998059,72.17086339998059,0.22688055993057787,2.8731750348568195,72.382930999971,72.17086339998059,[0.1879490000428632],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
1,0,1,0,5,0,5,0,,,,,,,,2.8403430658535873,frequency,1072.0,8.0,0.0001182194143953675,0,41,[],0.019794060033746064,None,None,75.02569370006677,75.02569370006677,0.23051606002263725,3.0708591258762246,75.24459450005088,75.02569370006677,,,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
1,0,1,0,6,0,6,0,,,,,,,,1.6471880802369443,frequency,1606.0,8.792624893115462,0.00015691684702980166,0,42,[],0.023013159981928766,None,['space'],78.07691720000003,78.07691720000003,0.22776535991579294,1.8749534401527372,78.29348860005848,78.07691720000003,[-2.503780100028962],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
1,0,1,0,7,0,7,0,,,,,,,,2.0307255881216495,frequency,2406.0,7.863944255901481,0.00020725348414638402,0,43,[],0.014243660029023886,None,['space'],79.93796640005894,79.93796640005894,0.2135050599463284,2.244230648067978,80.1555230000522,79.93796640005894,[-1.499885999946855],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
1,0,1,0,8,0,8,0,,,,,,,,1.138122265495875,frequency,3605.0,7.50659668548074,0.00018274952687982103,0,44,[],0.014507960062474012,0.20874986005946994,None,82.1889838000061,82.1889838000061,0.20874986005946994,1.3468721255553449,82.4041357000824,82.1889838000061,,,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
1,0,1,0,9,0,9,0,,,,,,,,1.6090136158189783,frequency,5401.0,6.245541572718435,0.00028315616047477026,0,45,[],0.01905815990176052,0.2176571598974988,['space'],83.53369319997728,83.53369319997728,0.2176571598974988,1.826670775716477,83.74927640007809,83.53369319997728,[-0.9196305000223219],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
2,0,2,0,0,0,0,0,,,,,,87.99629510007799,None,1.0437977768403426,none,501.0,18.242146823533123,0.0005822748355380647,0,29,[],0.024402860086411238,None,None,89.02601460006554,None,0.22560126008465886,1.2693990369250014,89.2345838000765,None,,85.35697259998415,None,"[0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334]",,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
2,0,2,0,1,0,1,0,,,,,,,,1.0768981298654514,none,751.0,15.20257891720949,0.00023367529366027492,0,30,[],0.01716606004629284,None,['space'],90.284903199994,90.284903199994,0.22536156000569463,1.302259689871146,90.50078980007675,90.284903199994,[-0.4387984999921173],,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
2,0,2,0,2,0,2,0,,,,,,,,2.4442832857422063,none,,,,1,30,[],0.022682560025714338,None,None,91.57282030000351,91.57282030000351,0.2283543599769473,2.6726376457191536,91.79194200003985,91.57282030000351,,,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
2,0,2,0,3,0,3,0,,,,,,,,2.6965068436973736,none,281.0,18.0,0.001069491809280863,0,31,[],0.02389985998161137,None,None,94.23142700002063,94.23142700002063,0.22972835996188223,2.926235203659256,94.44942219997756,94.23142700002063,,,,,,,,,tsbvqq,001,fr,0,2022-05-04_17h28.58.455,Continuous,2022.1.1,35.46858972476719,
