frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
200,0,0,0,0,,,,,,,,,200,30,left,79.29824526666586,None,81.23627809999743,None,right,0,2.612615600010031,78.80104479999864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ttuwra,001,0,fr,2022-04-26_11h15.12.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
850,0,1,1,2,,,,,,,,,850,30,up,92.09642046667092,None,93.06013549999625,None,right,0,2.4901331000146456,90.6349831999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ttuwra,001,0,fr,2022-04-26_11h15.12.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
450,0,2,2,1,,,,,,,,,450,30,up,95.64666616666752,None,96.61674450000282,96.93009870000242,up,1,26.671949600000517,94.18162089999532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ttuwra,001,0,fr,2022-04-26_11h15.12.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
1300,0,3,3,3,,,,,,,,,1300,30,left,122.38028426666666,None,None,None,left,1,1.0081468999997014,121.90960330000962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ttuwra,001,0,fr,2022-04-26_11h15.12.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
5000,0,4,4,4,,,,,,,,,5000,30,left,126.5741885666687,None,None,None,left,1,1.1861863000085577,126.09984799999802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,ttuwra,001,0,fr,2022-04-26_11h15.12.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],5,left,1000,50,0.013930605843148852,0,0,-1,5,137.96415326667582,None,137.9190682000044,138.24517360000755,None,None,None,None,left,1,0.6375993999972707,137.97558379999828,None,None,None,ttuwra,001,0,fr,2022-04-26_11h15.12.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,left,1000,40,0.004405244365040069,-1,0,-1,-10,140.17276426667038,None,140.1306528999994,140.47102140000788,None,None,None,None,left,1,0.6059165000042412,140.18452599999728,None,None,None,ttuwra,001,0,fr,2022-04-26_11h15.12.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,right,1000,30,0.0013930605843148849,-1,0,-1,-10,None,None,142.28398880000168,142.60279390000505,None,None,None,None,left,0,0.6176023000007262,142.33144039999752,None,None,None,ttuwra,001,0,fr,2022-04-26_11h15.12.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,left,1000,35,0.002477250954023951,1,1,1,5,144.50932656666944,144.73578380000254,144.46324310000637,144.78960040000675,None,None,None,None,left,1,0.4145226999971783,144.52012200000172,None,None,None,ttuwra,001,0,fr,2022-04-26_11h15.12.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,left,1000,25,0.0007833755350540744,-1,2,-1,-10,146.48704536667017,None,146.44200490000367,146.77004540000053,None,None,None,None,left,1,0.5458889000001363,146.49955750000663,None,None,None,ttuwra,001,0,fr,2022-04-26_11h15.12.032,3-AFC_adaptive_staircase_mess,2022.1.1,None,
