tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_both,Audiogram_none,Audiogram_time,Audiogram_frequency,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,44.22518800001126,None,time,1000,30,0.0013930605843148849,False,1,"[0.5321751159351253, 0.5321751159351253, 0.5321751159351253, 0.5321751159351253]","[566.3391976618229, 2294.409154930157, 4131.769552040283, 1470.0044683563308]",None,"[30, 30, 30, 30]",65.0804913000029,67.61818430000858,67.61818430000858,68.82947900000727,['space'],1,[0.7527378000086173],67.61818430000858,69.38467080000555,None,1,['space'],0,[1.4353057999978773],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
1,0,1,0,,,,,,,,,,,both,2500,30,0.002716251657462167,False,1,"[0.5473770930956867, 0.5473770930956867, 0.5473770930956867, 0.5473770930956867]","[992.1256574801249, 1250.0000000000002, 1574.9013123685916, 1984.2513149602494]",Major_3rd,"[30, 30, 30, 30]",76.89710050000576,79.46135420000064,79.46135420000064,80.69436630001292,['space'],1,[0.3821012999978848],79.46135420000064,81.23460700000578,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
2,0,2,0,,,,,,,,,,,none,6000,30,0.003664122665694519,True,0,"[0.7330163057004393, 0.604949421454999, 0.6129126724892768, 0.4328607765798256]","[824.8906078811713, 3310.5882624858154, 301.74611762607117, 2870.52180913272]",None,"[30, 30, 30, 30]",84.50906330000726,87.38154860000941,87.38154860000941,88.60820850000891,['space'],0,[0.41339000000152737],87.38154860000941,89.04731830001401,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
3,0,3,0,,,,,,,,,,,none,440,30,0.0023562289915021436,False,1,"[0.737931590876384, 0.6632686924154956, 0.4648809085424723, 0.45829785575714355]","[7244.1944097540045, 5398.631613672738, 179.01623504097617, 2367.926848392506]",None,"[30, 30, 30, 30]",93.44433730001037,96.24641580000753,96.24641580000753,97.48680310000782,['space'],1,[0.38192429998889565],96.24641580000753,97.92133320000721,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
4,0,4,0,,,,,,,,,,,frequency,250,30,0.005296268625886445,True,0,"[0.5041657394225895, 0.42764604702706277, 0.40226876374728004, 0.6724780308837446]","[1259.9210498948732, 840.8964152537146, 561.2310241546866, 374.5767692191704]",Perfect_5th,"[30, 30, 30, 30]",101.3730879000068,103.6431031000102,103.6431031000102,104.89027530000021,['space'],0,[0.3770772999996552],103.6431031000102,105.55762410000898,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.1788377000048,None,space,20.712500199995702,113.1788377000048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.94678380001278,134.95904830000654,135.41624646667722,None,135.90994136667385,None,136.41943336667126,None,136.9101016666721,137.13624160000472,135.32476050000696,137.13624160000472,137.4351816666788,None,137.13624160000472,137.95473270000366,space,1.3634957999893231,138.1282113000052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.1282113000052,None,139.5390582000109,140.56446370000776,141.00403386667702,None,141.31870426667254,None,142.02290666666912,142.23860850000347,142.3986489666752,None,140.93056150000484,142.73287350000464,143.02619476667704,None,142.73287350000464,143.57651090000581,space,1.265708499995526,143.74540140001045,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.74540140001045,None,145.07835730000807,146.11324250001053,146.54804816667846,None,147.04926246666972,147.27175360001274,147.56995996667345,None,148.0548601666708,None,146.47450080000272,148.2826819000038,148.55170046668016,None,148.2826819000038,149.10602650001238,space,1.0403656999988016,149.25112400000216,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
,,,,0,0,0,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.25112400000216,None,150.33767660000012,151.35442320001312,151.81807176667306,None,152.0976465666793,152.31708550000621,152.82111836667562,None,153.20206246668047,None,151.73416110000107,153.5200104000105,153.81888996667502,154.04906330000085,153.5200104000105,154.3376702000096,154.50574540000525,None,155.53909340000246,None,166.54685320000863,None,1913.4976548931877,23.841789413468156,0.0011034992660693714,0,"[0.798678791294679, 0.5712891103961633, 0.5060087210803739, 0.5849006106697914]","[4821.711948648806, 3826.995309786376, 3037.488190316129, 2410.8559743244027]",Major_3rd,"[23.0, 26.0, 28.268439788568884, 29.22822029262]",False,167.51965100000962,170.4247871000116,170.4247871000116,171.67585700000927,None,0,3.4929586666548857,4.517154066663352,None,1,['space'],0,[0.3946548000094481],,,,,,,,,,,,,ttuwra,001,fr,0,0,2022-04-26_11h34.16.499,Cluster,2022.1.1,36.75662483008128,
