sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_frequency,Audiogram_time,Audiogram_both,Audiogram_none,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,18.899917299990193,None,33.725133799991454,None,0.16666666666666666,35.80061209999258,None,2.1548512274857474,frequency,708.0,18.487558012986447,0.00037241135405774,0,26,[],0.00987516665190924,None,None,36.82644079999591,None,0.2077658666530624,2.36261709413881,37.034094599992386,None,,,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
0,0,0,0,1,0,1,0,,,,,,,,1.2434712807192967,frequency,631.0,18.68518630433678,0.000439020024850777,0,27,[],0.012158866651589051,None,None,39.18967039999552,39.18967039999552,0.2145336666580988,1.4580049473773955,39.40435029999935,39.18967039999552,,,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
0,0,0,0,2,0,2,0,,,,,,,,2.095570578895607,frequency,562.0,18.590219728675805,0.0005251790509372461,0,28,[],0.012302466668188572,None,None,40.63790339999832,40.63790339999832,0.2138220666674897,2.3093926455630966,40.85293500000262,40.63790339999832,,,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
0,0,0,0,3,0,3,0,,,,,,,,2.446421556181412,frequency,501.0,19.683460462710443,0.0006873749535645215,0,29,[],0.011887166678206995,None,['space'],42.94444229999499,42.94444229999499,0.21393736667232588,2.660358922853738,43.152971199990134,42.94444229999499,[-1.6488186000060523],,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
0,0,0,0,4,0,4,0,,,,,,,,1.690853309430546,frequency,,,,1,29,[],0.012107066650060005,None,['space'],45.60309599999164,45.60309599999164,0.2122392666497035,1.9030925760802495,45.81696949999605,45.60309599999164,[-2.1480640999943716],,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
0,0,0,0,5,0,5,0,,,,,,,,2.7859991336175725,frequency,397.0,18.01082914253451,0.0006150457739144587,0,30,[],0.013375266673392616,None,None,47.50633669999661,47.50633669999661,0.2115554666670505,2.997554600284623,47.719097900000634,47.50633669999661,,,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
0,0,0,0,6,0,6,0,,,,,,,,2.9921784080637615,frequency,354.0,18.0,0.0007029517838246072,0,31,[],0.011430366663262248,None,['space'],50.5026785999944,50.5026785999944,0.2125412666500779,3.2047196747138393,50.727117299989914,50.5026785999944,[-2.4713847000093665],,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
0,0,0,0,7,0,7,0,,,,,,,,2.4033321045998957,frequency,315.0,18.124462267283562,0.000794681527154343,0,32,[],0.01194566665799357,None,['space'],53.70958699999028,53.70958699999028,0.2125033666670788,2.6158354712669745,53.92428839999775,53.70958699999028,[-2.6222545000055106],,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
0,0,0,0,8,0,8,0,,,,,,,,2.475979157975684,frequency,281.0,18.55596777889774,0.0011401863877271436,0,33,[],0.011804666646639816,None,['space'],56.32752900000196,56.32752900000196,0.21058636665111408,2.686565524626798,56.54147219999868,56.32752900000196,[-2.0239789000042947],,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
0,0,0,0,9,0,9,0,,,,,,,,1.4852911495040404,frequency,250.0,18.05850227679824,0.0013393531954738187,0,34,[],0.011766966650611721,None,['space'],59.01813419999962,59.01813419999962,0.20911036664620042,1.6944015161502408,59.22881899999629,59.01813419999962,[-2.123702899989439],,,,,,,,ttuwra,001,fr,0,2022-04-26_11h01.58.172,Continuous,2022.1.1,37.437030914475784,
