tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_late.rt,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_frequency,Audiogram_both,Audiogram_none,Audiogram_time,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,23.215469599992502,None,time,1000,30,0.0013930605843148849,False,1,"[0.7732070846774832, 0.7732070846774832, 0.7732070846774832, 0.7732070846774832]","[3467.2038310793496, 756.6812683928773, 430.4028755448245, 5715.553217786569]",None,"[30, 30, 30, 30]",46.188553099986166,49.43808510003146,49.43808510003146,50.657861199986655,"['space', 'space']",1,"[0.34502889995928854, 1.2736962999915704]",49.43808510003146,51.42756540002301,None,1,"['space', 'space', 'space']",0,"[0.7311889000120573, 1.8993553000036627, 2.7466982000041753]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
1,0,1,0,,,,,,,,,,,none,2500,30,0.002716251657462167,False,1,"[0.4901406833093659, 0.5747303580973224, 0.7210185996714353, 0.6972054459315924]","[296.4995088347773, 4826.391321238038, 248.41368997645614, 7781.0750400528805]",None,"[30, 30, 30, 30]",58.71260590001475,61.42341170000145,61.42341170000145,62.63736250001239,['space'],1,[0.9528087000362575],61.42341170000145,63.33464630000526,None,1,"['space', 'space', 'space']",0,"[0.6556726000271738, 1.3110830000368878, 2.1752080000005662]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
2,0,2,0,,,,,,,,,,,none,6000,30,0.003664122665694519,True,0,"[0.5226863362918348, 0.6224326755587427, 0.6906467458003849, 0.6861135452517114]","[3127.7187949774425, 7590.991204174481, 3519.7368231866008, 4121.762402433865]",None,"[30, 30, 30, 30]",71.2679550999892,74.05139729997609,74.05139729997609,75.28435460000765,['space'],0,[0.2293434999883175],74.05139729997609,75.95218010002282,None,1,"['space', 'space']",0,"[0.6115552000119351, 1.9865396000095643]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
3,0,3,0,,,,,,,,,,,both,440,30,0.0023562289915021436,False,1,"[0.5199853458713957, 0.5199853458713957, 0.5199853458713957, 0.5199853458713957]","[174.614115716502, 220.00000000000006, 277.18263097687213, 349.2282314330039]",Major_3rd,"[30, 30, 30, 30]",84.1078542000032,86.5963770999806,86.5963770999806,87.81954649998806,"['space', 'space']",1,"[0.7235212000086904, 1.2829783000051975]",86.5963770999806,88.34644260001369,None,1,"['space', 'space', 'space']",0,"[0.7955245000193827, 1.3877927000285126, 2.2043376000365242]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
4,0,4,0,,,,,,,,,,,frequency,250,30,0.005296268625886445,True,0,"[0.7119145882121687, 0.5916920873160065, 0.7167655214589782, 0.7000718471206789]","[157.49013123685913, 176.77669529663686, 198.42513149602493, 222.72467953508482]",Tone,"[30, 30, 30, 30]",92.36366750003072,95.30261720000999,95.30261720000999,96.53913689998444,['space'],0,[0.14428020000923425],95.30261720000999,97.22600299998885,None,1,"['space', 'space', 'space']",0,"[0.5552924000076018, 1.3235169000108726, 2.1399995000101626]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.60860490001505,None,u,46.49491950002266,101.60860490001505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.17340319999494,149.19882619997952,149.66007916664628,None,150.14093966666067,None,150.64092306665069,None,151.14136476669617,None,149.55840729997726,151.36388369998895,151.6454155666909,151.87455559999216,151.36388369998895,152.19877249997808,space,1.8729650000459515,152.37559409998357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.37559409998357,None,154.30041070003062,155.33237000001827,155.78522756667033,156.00989129999653,156.08668306668213,None,156.774277566645,156.99482590000844,157.1862252666654,157.4153827999835,155.67961779999314,157.475306599983,157.78640236665186,158.01433440000983,157.475306599983,158.30866169999354,space,1.5698557999567129,158.48594739998225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.48594739998225,None,160.10625120002078,161.13011610001558,161.57877056667738,None,162.08704676665755,None,162.5880119666729,None,163.08619786665466,None,161.50508969998918,163.30684209999163,163.58871976664912,None,163.30684209999163,164.14323510002578,space,4.0368810999789275,164.29028529999778,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
,,,,0,0,0,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.29028529999778,None,168.38682569999946,169.39895539998543,169.845962866679,None,170.1433242666574,None,170.8555535666567,None,171.24967276666237,None,169.77136479999172,171.59016810002504,171.8396633666746,None,171.59016810002504,172.42043060000287,172.58741680003004,None,173.59406249999302,None,227.26479789998848,None,604.2314149548388,19.0,0.0004918328949564207,0,"[0.43733029432769976, 0.6701271545106382, 0.7947666651347176, 0.6414223659696208]","[3045.1355148374614, 2032.3841232768148, 1356.4536633661583, 905.3242050980457]",Perfect_5th,"[18.113642233224674, 17.68494805930083, 15.401470255701224, 15.0]",False,228.2593715999974,231.18284620001214,231.18284620001214,232.4158810999943,None,0,3.5808700667112134,4.60531216673553,['space'],0,[-0.03789030003827065],"['space', 'space']",0,"[-0.599083699984476, 0.23353319999296218]",,,,,,,tvzljm,001,fr,0,0,2022-04-29_15h17.25.861,Cluster,2022.1.1,None,
