frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
5000,0,0,0,4,,,,,,,,,5000,30,right,None,None,None,None,left,0,1.1583012999035418,67.89432520000264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
200,0,1,1,0,,,,,,,,,200,30,up,None,None,None,None,right,0,1.3801393997855484,79.28896709997207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
1300,0,2,2,3,,,,,,,,,1300,30,right,None,None,99.22754646680939,None,right,1,2.3924325997941196,96.8056254000403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
450,0,3,3,1,,,,,,,,,450,30,left,103.84836396674315,None,105.81745770014822,106.15183580014855,left,1,7.814411699771881,103.38325050007552,None,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
850,0,4,4,2,,,,,,,,,850,30,right,115.24355296680393,None,115.22688630013727,115.56222430011258,right,1,4.040965799707919,112.78949530003592,None,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],5,left,1000,50,0.013930605843148852,0,0,-1,5,145.77297686675254,None,145.72184510016814,146.0656284999568,146.72677369997837,147.0602164999582,147.72648850013502,148.05812980001792,left,1,2.7828577999025583,145.79048900003545,None,148.2843357999809,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,left,1000,40,0.004405244365040069,-1,0,-1,-10,150.14902566682238,150.37480060011148,150.0976325001102,150.43875210010447,151.10316499997862,151.438339299988,152.1033038001042,152.43794000009075,left,1,2.7406207998283207,150.16891300003044,None,152.66904000006616,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,up,1000,30,0.0013930605843148849,-1,0,-1,-10,155.4813499667837,155.70913980016485,154.4343529001344,154.7667819999624,155.43096920009702,155.77144429995678,156.4355024001561,156.7694155999925,up,1,2.9540843998547643,154.46795419999398,None,156.99738840013742,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,left,1000,20,0.0004405244365040069,-1,0,-1,-10,158.97657886665937,None,158.93103620014153,159.27752749994397,159.93975570006296,160.27490249997936,160.93540860014036,161.27041009999812,left,1,2.7181235998868942,158.990738700144,None,161.49128780001774,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,right,1000,10,0.00013930605843148847,-1,0,-1,-10,165.2626092667381,None,163.20620659994893,163.53828810015693,164.19903450016864,164.51497010001913,165.21269339998253,165.54060590011068,right,1,2.5970179000869393,163.27231910009868,None,165.7579240000341,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,-1,0,-1,-10,168.41371096676838,None,167.3909126999788,167.72145300009288,168.36696150014177,168.68039859994315,169.38111950014718,169.71519799996167,up,1,2.832901099929586,167.42012750008143,None,169.92650900012814,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,left,1000,-10,1.3930605843148848e-05,-1,0,-1,-10,171.8370166668358,None,171.7907908000052,172.12311380007304,172.79730590013787,173.13693140004762,173.7935663999524,174.13476300006732,left,1,2.847092399839312,171.85312790004537,None,174.3557097001467,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,right,1000,-20,4.405244365040069e-06,-1,0,-1,-10,178.27007626678486,None,176.23082210007124,176.54755720007233,177.21722350013442,177.55263080005534,178.22002130001783,178.56270639994182,up,0,2.8404914001002908,176.26048170006834,None,178.7775984001346,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,up,1000,-15,7.833755350540743e-06,1,1,1,5,181.67334906669956,None,180.61533050006256,180.9496700000018,181.62335860007443,181.96583090000786,182.63059580000117,182.95868810010143,left,0,3.0173418999183923,180.6750352999661,None,183.18622880009934,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,right,1000,-10,1.3930605843148848e-05,1,1,1,5,187.21556386683758,None,185.20239740004763,185.53923019999638,186.19494640012272,186.53736079996452,187.1988972001709,187.53841560008004,right,1,4.361824699910358,185.23515209998004,None,187.74998180009425,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,right,1000,-20,4.405244365040069e-06,-1,2,-1,-10,193.1576911667983,None,191.10114550008439,191.43260079994798,192.10161270014942,192.4437466999516,193.11033749999478,193.4358918000944,right,1,3.3776422997470945,191.16274100006558,None,193.65323990001343,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,left,1000,-30,1.3930605843148862e-06,-1,2,-1,-10,196.07639326673623,None,196.05972660006955,196.38648790004663,197.05884469999,197.38988719996996,198.048297500005,198.38115290016867,up,0,4.3082489997614175,196.08948189998046,None,198.59215939999558,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,left,1000,-25,2.4772509540239526e-06,1,3,1,2.5,201.9558747667509,None,201.93920810008422,202.27866810001433,202.93498610006645,203.27024240000173,203.9259016001597,204.2611188001465,up,0,3.419439399847761,201.96938859997317,None,204.47472990001552,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,up,1000,-22.5,3.303467240037979e-06,1,3,1,2.5,207.94957826665294,None,206.91657420014963,207.24330560001545,207.90251980000176,208.24232259998098,208.90286420006305,209.23232219996862,right,0,3.0202330998145044,206.94491940014996,None,209.47834550007246,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,right,1000,-20.0,4.405244365040069e-06,1,3,1,2.5,213.52441166673478,None,211.4911343001295,211.82918210001662,212.48895839997567,212.823761299951,213.4769806000404,213.82225279998966,right,1,3.3703833997715265,211.5228145001456,None,214.03613150003366,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,right,1000,-25.0,2.4772509540239526e-06,-1,4,-1,-5.0,218.45330386661615,None,216.40125140012242,216.73148289998062,217.41878050006926,217.7551822999958,218.40670970012434,None,up,0,2.1435211999341846,216.46084730001166,None,None,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,right,1000,-22.5,3.303467240037979e-06,1,5,1,2.5,222.1993119668371,None,220.1783847999759,220.5121449001599,221.14719650009647,221.4920080001466,222.15225150017068,222.49915300006978,up,0,3.0390378998126835,220.20603040000424,None,222.71140490006655,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,up,1000,-20.0,4.405244365040069e-06,1,5,1,2.5,225.8029312666661,None,224.76426680013537,225.1008681000676,225.7538477999624,226.09721840010025,226.75453580007888,227.08356030005962,up,1,3.21999410004355,224.79379070014693,None,227.32294149999507,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,up,1000,-25.0,2.4772509540239526e-06,-1,6,-1,-5.0,230.56581416662473,None,229.5322324000299,229.86847530002706,230.51920740003698,230.85485550016165,231.53360050008632,231.86917780013755,left,0,2.7198749999515712,229.56570519995876,None,232.0703746001236,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,19,0,19,0,,,,,,,,,,,,,,,,right,1000,-22.5,3.303467240037979e-06,1,7,1,2.5,235.84163996676605,None,233.82323890016414,234.13908970006742,234.7917135001626,235.13904960011132,235.82497330009937,236.1413555999752,left,0,2.7540678000077605,233.85117950011045,None,236.37638689996675,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,20,0,20,0,,,,,,,,,,,,,,,,left,1000,-20.0,4.405244365040069e-06,1,7,1,2.5,238.145785866833,None,238.12911920016631,238.44359030015767,239.11020440002903,239.44440510007553,240.1182540000882,240.44431110005826,left,1,2.8777982997708023,238.15952210011892,None,240.66342100012116,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,0,0,0,0,21,0,21,0,,,,,,,,,,,,,,,,up,1000,-25.0,2.4772509540239526e-06,-1,8,-1,-5.0,243.59344946669106,None,242.57078570011072,242.91372609999962,243.53433179995045,243.85422220011242,244.54777189996094,244.8843768001534,right,0,3.0293600000441074,242.60032210010104,None,245.08573119994253,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,[],[],5,up,1500,50,0.01527460556607757,0,0,-1,5,248.18385546660673,None,247.15736160008237,247.4857354001142,248.16718879994005,248.48868610011414,249.177376100095,249.5062395001296,up,1,2.8767200999427587,247.2156989001669,None,249.7168519999832,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,left,1500,40,0.004830254394949068,-1,0,-1,-10,251.64632256661233,None,251.62965589994565,251.95814829994924,252.64798839995638,252.99220470013097,253.62433920009062,253.9601942000445,left,1,2.883914099773392,251.65828550001606,None,254.193536600098,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,left,1500,30,0.001527460556607757,-1,0,-1,-10,256.10995686665797,None,256.06053310004063,256.4025418001693,257.0863340999931,257.4300404000096,258.04860890004784,258.39866479998454,left,1,2.8778321999125183,256.12636470003054,None,258.6322198000271,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,left,1500,20,0.00048302543949490677,-1,0,-1,-10,260.55649996671514,None,260.5398333000485,260.8675923999399,261.52444900013506,261.8684213999659,262.5338518000208,262.8701041000895,left,1,2.8518322999589145,260.56871270015836,None,263.10377859999426,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,up,1500,10,0.0001527460556607757,-1,0,-1,-10,265.9875683666362,266.221233200049,264.94494810001925,265.27169640013017,265.93769209994934,266.2512556000147,266.9466550000943,267.2726221999619,up,1,2.9602883998304605,264.9729355000891,None,267.50459529994987,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,left,1500,0,4.830254394949071e-05,-1,0,-1,-10,269.46842826676243,None,269.4517616000958,269.78619490005076,270.4406210000161,270.7769921000581,271.4416169000324,271.779585900018,left,1,2.896716999821365,269.48389090015553,None,271.98117080004886,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,right,1500,-10,1.527460556607758e-05,-1,0,-1,-10,275.92262196663455,None,273.8951155000832,274.2148228001315,274.88012450002134,275.2158433999866,275.8780569001101,276.2182259000838,left,0,2.904161399928853,273.92492759996094,None,276.4289255000185,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,up,1500,-5,2.716251657462168e-05,1,1,1,5,279.4015463668077,279.62743470002897,278.3491094999481,278.68638040008955,279.35549989994615,279.6910546000581,280.3567047000397,280.68652889993973,right,0,2.721434799954295,278.41238690004684,None,280.92187750013545,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,8,0,8,0,,,,,,,,,,,,,,,,up,1500,0,4.830254394949071e-05,1,1,1,5,283.6890825667108,None,282.6459735999815,282.991221500095,283.6414814000018,283.95810050005093,284.67165339994244,285.0026428999845,left,0,3.6772727998904884,282.70414760010317,None,285.21065150015056,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,9,0,9,0,,,,,,,,,,,,,,,,up,1500,5,8.589541935787943e-05,1,1,1,5,288.9233754666677,None,287.8967869000044,288.22858360013925,288.90670880000107,289.24375290004537,289.89303459995426,290.2309107000474,up,1,2.99561439990066,287.962306200061,None,290.46551740006544,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,10,0,10,0,,,,,,,,,,,,,,,,right,1500,-5,2.716251657462168e-05,-1,2,-1,-10,294.5187813668201,294.75083480007015,292.46822730009444,292.8010198001284,293.47464830009267,293.80108150001615,294.46882930002175,294.8112880999688,right,1,2.9226478999480605,292.53093400015496,None,295.0208618999459,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,11,0,11,0,,,,,,,,,,,,,,,,left,1500,-15,8.589541935787946e-06,-1,2,-1,-10,297.00254926673756,None,296.9560829999391,297.2721436000429,297.981601000065,298.3064445001073,298.964418400079,299.3068295000121,left,1,2.7417948998045176,297.0156757000368,None,299.5407432001084,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,12,0,12,0,,,,,,,,,,,,,,,,right,1500,-25,2.7162516574621683e-06,-1,2,-1,-10,303.31395406678007,None,301.272602400044,301.60775399999693,302.274412299972,302.61223329999484,303.2689427000005,303.6109682000242,up,0,3.033816299866885,301.33144149999134,None,303.8462257999927,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,13,0,13,0,,,,,,,,,,,,,,,,right,1500,-20,4.8302543949490704e-06,1,3,1,2.5,307.90764976671585,None,305.87706320011057,306.21409050002694,306.8807868999429,307.21592490002513,307.8909831000492,308.2194026000798,left,0,3.038889199960977,305.93387950002216,None,308.42454190016724,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,14,0,14,0,,,,,,,,,,,,,,,,right,1500,-17.5,6.441247758465675e-06,1,3,1,2.5,312.50543176668384,312.7350076001603,310.48209189996123,310.81868270016275,311.49382279999554,311.8212983000558,312.4887651000172,312.8260435999837,right,1,2.910525099840015,310.542375799967,None,313.05500230006874,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,15,0,15,0,,,,,,,,,,,,,,,,left,1500,-22.5,3.622179800374953e-06,-1,4,-1,-5.0,314.9954317666745,None,314.9504754000809,315.28988720010966,315.96561049995944,316.291618200019,316.9584178000223,317.2921693001408,left,1,2.9416189999319613,315.007492700126,None,317.5269999001175,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,16,0,16,0,,,,,,,,,,,,,,,,up,1500,-27.5,2.0369013890205653e-06,-1,4,-1,-5.0,320.50954346667663,None,319.4655312001705,319.7944555999711,320.45948640001006,320.80231310008094,321.4580664001405,321.7855685001705,left,0,3.0313036998268217,319.49405229999684,None,322.0252152001485,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,17,0,17,0,,,,,,,,,,,,,,,,right,1500,-25.0,2.7162516574621683e-06,1,5,1,2.5,326.0654966666518,None,324.0264542000368,324.3659955000039,325.03306560008787,325.36885750014335,326.0208002999425,326.3685137000866,right,1,3.0330956999678165,324.08372809994034,None,326.58707759995013,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,18,0,18,0,,,,,,,,,,,,,,,,right,1500,-30.0,1.5274605566077578e-06,-1,6,-1,-5.0,330.6915841666671,None,328.63915090006776,328.971913699992,329.637478900142,329.97328609996475,330.64533990016207,330.9774472999852,left,0,2.4968924997374415,328.7008470001165,None,331.2165074001532,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,19,0,19,0,,,,,,,,,,,,,,,,right,1500,-27.5,2.0369013890205653e-06,1,7,1,2.5,334.75565086660595,None,332.7086758001242,333.04149780003354,333.70714860013686,334.04345120000653,334.7078207000159,335.0497328999918,left,0,2.34470669971779,332.7417472000234,None,None,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,20,0,20,0,,,,,,,,,,,,,,,,right,1500,-25.0,2.7162516574621683e-06,1,7,1,2.5,338.63374886667975,None,336.60999180004,336.94664750015363,337.61232440010644,337.948016700102,338.6170822000131,338.947456800146,up,0,2.9109161999076605,336.67045910004526,None,339.1635555999819,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,21,0,21,0,,,,,,,,,,,,,,,,left,1500,-22.5,3.622179800374953e-06,1,7,1,2.5,341.1333259668356,341.3630322001409,341.0830459999852,341.42400470003486,342.0933126001619,342.4194718999788,343.08801780012436,343.4201740999706,left,1,2.991811699932441,341.14995480002835,None,343.6213215000462,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,1,0,1,0,22,0,22,0,,,,,,,,,,,,,,,,right,1500,-27.5,2.0369013890205653e-06,-1,8,-1,-5.0,347.682117066641,None,345.66256000008434,345.9884486000519,346.65729900007136,346.9916952000931,347.66545039997436,347.9921317000408,left,0,2.660133699886501,345.7204313999973,None,348.21601049997844,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,[],[],5,left,2000,50,0.02365756294807403,0,0,-1,5,349.94593966665366,None,349.9008947000839,350.22757690004073,350.8925109000411,351.22776730009355,351.9070101999678,352.22917170007713,left,1,2.82130269985646,349.95928489998914,None,352.46121550002135,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,left,2000,40,0.007481178280472167,-1,0,-1,-10,354.38034736673967,None,354.3302756000776,354.6720794001594,355.33253460004926,355.66642710007727,356.32934239995666,356.66820770013146,left,1,2.782379499869421,354.39790310012177,None,356.90057629998773,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,up,2000,30,0.0023657562948074026,-1,0,-1,-10,359.7143906667518,None,358.70176120009273,359.03549510007724,359.69772400008515,360.0104040999431,360.694140000036,361.0381684000604,up,1,2.990208499832079,358.7347049000673,None,361.2385637999978,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,right,2000,20,0.0007481178280472167,-1,0,-1,-10,365.255808566759,None,363.24157129996456,363.57462009997107,364.22624310012907,364.542075100122,365.23914190009236,365.5756932999939,right,1,2.993264300050214,363.27565550012514,None,365.77523649996147,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,up,2000,10,0.00023657562948074026,-1,0,-1,-10,368.8314625668029,369.057246300159,367.80754790012725,368.14232450001873,368.81479590013623,369.1468383001629,369.8110893999692,370.1292602000758,up,1,2.7663738999981433,367.8386161001399,None,370.3384710000828,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,2,0,2,0,5,0,5,0,,,,,,,,,,,,,,,,left,2000,0,7.481178280472168e-05,-1,0,-1,-10,372.14675376663604,None,372.10053499997593,372.4172497000545,373.1179588001687,373.45143250003457,374.1147899001371,374.45358259999193,left,1,2.7330029997974634,372.1607674001716,None,374.6860496001318,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,2,0,2,0,6,0,6,0,,,,,,,,,,,,,,,,up,2000,-10,2.3657562948074015e-05,-1,0,-1,-10,377.46820976661206,None,376.4194988999516,376.75566350016743,377.4184529001359,377.7618124000728,378.41952750016935,378.76172720012255,left,0,2.9664709998760372,376.48624730017036,None,378.98983970005065,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,2,0,2,0,7,0,7,0,,,,,,,,,,,,,,,,up,2000,-5,4.206975708225974e-05,1,1,1,5,381.981106966796,None,380.9555967000779,381.2921889000572,381.96444030012935,382.2950794000644,382.95378250000067,383.2927201001439,up,1,2.8623243998736143,381.0226680999622,None,383.5146141999867,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,2,0,2,0,8,0,8,0,,,,,,,,,,,,,,,,right,2000,-15,1.3303625298994042e-05,-1,2,-1,-10,387.44180736673684,None,385.3929050001316,385.7292730000336,386.3946426999755,386.7284013000317,387.3947390001267,387.7088820999488,right,1,2.67116989986971,385.45336470007896,None,387.9332628999837,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,2,0,2,0,9,0,9,0,,,,,,,,,,,,,,,,right,2000,-25,4.206975708225973e-06,-1,2,-1,-10,391.68407636677534,None,389.6313036000356,389.9679560000077,390.63635540008545,390.9702064001467,391.6339855999686,391.9756034000311,up,0,2.7940699998289347,389.6991294999607,None,392.2039719000459,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,2,0,2,0,10,0,10,0,,,,,,,,,,,,,,,,right,2000,-20,7.481178280472164e-06,1,3,1,2.5,396.05904836679497,396.2844952000305,394.0028061999474,394.3361887000501,395.0055613000877,395.3405057999771,396.0083649000153,396.34637080016546,left,0,2.647201299900189,394.0693384001497,None,396.57507060002536,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
,,,,,2,0,2,0,11,0,11,0,,,,,,,,,,,,,,,,right,2000,-17.5,9.976311574844395e-06,1,3,1,2.5,400.2904814666292,None,398.25642070011236,398.5795901999809,399.2413505001459,399.5768977999687,400.24084250000305,400.58366500004195,left,0,3.0873814998194575,398.2859640000388,None,400.8105593000073,None,tyrfqt,001,0,fr,2022-04-22_11h04.55.897,3-AFC_adaptive_staircase_mess,2022.1.1,None,
