tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,API_start,API_stop,API_duration,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,17.84242650005035,None,both,1000,30,0.0013930605843148849,False,1,"[0.5974759061754059, 0.5974759061754059, 0.5974759061754059, 0.5974759061754059]","[1587.4010519682001, 1414.2135623730956, 1259.9210498948735, 1122.4620483093731]",Tone,"[30, 30, 30, 30]",26.742920799879357,29.468567400006577,29.468567400006577,30.702496299985796,['space'],1,[1.014103600056842],29.468567400006577,31.296456299955025,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,0,0,2022-04-22_11h30.43.085,Cluster,2022.1.1,35.42817787007296,
1,0,1,0,,,,,,,,,,,time,2500,30,0.002716251657462167,False,1,"[0.5956223095154664, 0.5956223095154664, 0.5956223095154664, 0.5956223095154664]","[139.05499613782936, 3944.6828141523597, 1184.5713606261857, 748.0242006165444]",None,"[30, 30, 30, 30]",35.959493099944666,38.67859079991467,38.67859079991467,39.91301309992559,['space'],1,[0.5083614999894053],38.67859079991467,40.509528799913824,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,0,0,2022-04-22_11h30.43.085,Cluster,2022.1.1,35.42817787007296,
2,0,2,0,,,,,,,,,,,time,6000,30,0.003664122665694519,True,1,"[0.5416551760160615, 0.5416551760160615, 0.5416551760160615, 0.5416551760160615]","[193.4086530154941, 3243.289360119227, 2344.2103651655393, 172.3769595207715]",None,"[30, 30, 30, 30]",43.935615099966526,46.48557360004634,46.48557360004634,47.721263099927455,None,1,,46.48557360004634,48.248177599860355,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,0,0,2022-04-22_11h30.43.085,Cluster,2022.1.1,35.42817787007296,
3,0,3,0,,,,,,,,,,,both,440,30,0.0023562289915021436,False,1,"[0.48713449657057867, 0.48713449657057867, 0.48713449657057867, 0.48713449657057867]","[174.614115716502, 220.00000000000006, 277.18263097687213, 349.2282314330039]",Major_3rd,"[30, 30, 30, 30]",51.37788609997369,53.76019850000739,53.76019850000739,54.99251620005816,['space'],1,[0.8663795001339167],53.76019850000739,55.4533166999463,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,0,0,2022-04-22_11h30.43.085,Cluster,2022.1.1,35.42817787007296,
4,0,4,0,,,,,,,,,,,frequency,250,30,0.005296268625886445,True,1,"[0.5630246820540186, 0.6564027979847877, 0.6667868188947186, 0.49113669468344545]","[629.9605249474366, 500.00000000000006, 396.8502629920499, 314.9802624737183]",Major_3rd,"[30, 30, 30, 30]",58.019504299853,60.832555499859154,60.832555499859154,62.036518999841064,None,1,,60.832555499859154,62.53043120005168,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,0,0,2022-04-22_11h30.43.085,Cluster,2022.1.1,35.42817787007296,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7090223999694,None,space,42.31702600023709,64.7090223999694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,0,0,2022-04-22_11h30.43.085,Cluster,2022.1.1,35.42817787007296,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.08172679995187,108.08380619995296,108.53596549986396,None,109.05811669996474,109.28816360002384,109.5548769998597,None,110.05543810005766,None,108.44259699992836,110.24025109992363,110.53902709989343,None,110.24025109992363,111.04327269992791,space,0.061395900091156363,111.25315320002846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,0,0,2022-04-22_11h30.43.085,Cluster,2022.1.1,35.42817787007296,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.25315320002846,None,111.35900149983354,112.3843412999995,112.83494239991997,113.05459710001014,113.1131307998905,None,113.8277972998796,114.05918539990671,114.23665629995521,114.4547075999435,112.71458859997801,114.51804080000147,114.81782819998917,None,114.51804080000147,115.32716599991545,space,4.422300500096753,115.51624240004458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,0,0,2022-04-22_11h30.43.085,Cluster,2022.1.1,35.42817787007296,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.51624240004458,None,120.00234679994173,121.01411999994889,121.46041180000175,None,121.95954290002119,None,122.45950140005444,None,122.95483159988653,None,121.37291230005212,123.18399069993757,123.4800846999744,123.70317939994857,123.18399069993757,124.01272449991666,space,1.1697625000961125,124.1605014000088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,0,0,2022-04-22_11h30.43.085,Cluster,2022.1.1,35.42817787007296,
,,,,,,,,,,,,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.1605014000088,None,125.38474590005353,126.39466969994828,126.84532180002425,127.06285379990004,127.15441889984068,None,127.85786049992312,128.07490010000765,128.2532995999092,None,126.75312069989741,128.5350694998633,128.8360653998563,None,128.5350694998633,129.34098459989764,129.5520605999045,None,130.58702069986612,None,169.27058829995804,None,1650619999.6973822,1650620000.687695,0.9903128147125244,,,,,,,,,,
