tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,API_start,API_stop,API_duration,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_frequency,Audiogram_none,Audiogram_time,Audiogram_both,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,None,None,both,1000,30,0.0013930605843148849,False,0,"[0.6931902723164465, 0.6931902723164465, 0.6931902723164465, 0.6931902723164465]","[198.42513149602496, 297.3017787506803, 445.4493590701697, 667.4199270850172]",Perfect_5th,"[30, 30, 30, 30]",None,None,None,None,None,0,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
1,0,1,0,,,,,,,,,,,both,2500,30,0.002716251657462167,False,0,"[0.6969321698568834, 0.6969321698568834, 0.6969321698568834, 0.6969321698568834]","[6299.605249474367, 5000.000000000001, 3968.502629920499, 3149.802624737183]",Major_3rd,"[30, 30, 30, 30]",None,None,None,None,None,0,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
2,0,2,0,,,,,,,,,,,time,6000,30,0.003664122665694519,True,0,"[0.4546052119421727, 0.4546052119421727, 0.4546052119421727, 0.4546052119421727]","[560.6341520975153, 238.17817861461057, 253.4986736124097, 435.60591804047493]",None,"[30, 30, 30, 30]",None,None,None,None,None,1,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
3,0,3,0,,,,,,,,,,,frequency,440,30,0.0023562289915021436,False,1,"[0.7087408262996191, 0.46983804723094896, 0.6284289216887002, 0.43919866591508855]","[174.614115716502, 220.00000000000006, 277.18263097687213, 349.2282314330039]",Major_3rd,"[30, 30, 30, 30]",None,None,None,None,None,0,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
4,0,4,0,,,,,,,,,,,frequency,250,30,0.005296268625886445,True,0,"[0.4613002870132766, 0.5696561952976724, 0.7011008686890621, 0.6237583572995706]","[1259.9210498948732, 840.8964152537146, 561.2310241546866, 374.5767692191704]",Perfect_5th,"[30, 30, 30, 30]",None,None,None,None,None,1,None,None,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.800669600022957,None,space,1.4584810000378639,24.800669600022957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.30957469996065,27.334343699971214,27.76456921992358,None,28.264544120081702,28.486730499891564,28.766608020081186,28.97969840001315,29.264382120012307,29.482946400064975,27.66862850007601,29.482946400064975,29.767316520004535,29.98092280002311,29.482946400064975,30.302016200032085,space,1.0852414001710713,30.469260799931362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.469260799931362,None,31.6140497000888,32.64027229999192,33.06964701998513,33.28053109999746,33.37053202001844,33.58372549992055,34.07205012000632,None,34.47009262002539,34.68596459995024,32.97441000002436,34.77921970002353,35.06906792011578,35.28625119989738,34.77921970002353,35.61025579995476,space,0.9757135000545532,35.77909910003655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.77909910003655,None,36.82200899999589,37.84921650006436,38.27298772011418,38.4989126001019,38.77522731993813,38.98850929993205,39.276832219935024,39.4911209999118,39.773102520057,39.98924640007317,38.177094999933615,39.98924640007317,40.27885101994034,None,39.98924640007317,40.81792189995758,space,0.9084233001340181,40.983003000030294,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,0,0,0,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.983003000030294,None,41.95573309995234,42.98519710008986,43.413874419895,43.62895380007103,43.72006722006481,None,44.41612651993055,44.63713019993156,44.81398101991508,45.02910970011726,43.317068099975586,45.11951080011204,45.416484120092356,45.63269150000997,45.11951080011204,45.95330339996144,46.12042500008829,None,None,None,47.16303599998355,None,1650620148.8157835,1650620149.8142304,0.9984469413757324,329.87697769322364,8.0,0.0002380236949658044,0,"[0.5138811247194084, 0.5138811247194084, 0.5138811247194084, 0.5138811247194084]","[130.9117653525784, 164.93848884661188, 207.80947403569704, 261.82353070515677]",Major_3rd,"[1.922254749025186, 5.989536451728783, 9.0, 8.326813114499995]",False,49.146233200095594,51.73065120005049,51.73065120005049,52.96331020002253,None,0,3.0675899600610137,4.101397159975022,['space'],0,[-6.191758200060576],,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
