sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,,Audiogram_both,Audiogram_none,Audiogram_time,Audiogram_frequency,participant,session,language (english or french),date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,19.577536599943414,None,59.812008999986574,None,"[0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333]",61.91626039985567,None,2.487009568174722,none,174.74624177237746,6.090869592279001,0.0007206381991036682,0,27,[],0.023286629933863878,None,None,66.22471760003828,None,0.21535523002967238,2.7023647982043943,66.42544959997758,None,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
0,0,0,0,1,0,1,0,,,,,,,,2.589987326089954,none,784.584097896751,2.7045278746630275,5.3340725368766504e-05,0,28,[],0.023781230207532644,None,None,68.9108984998893,68.9108984998893,0.23057503020390868,2.8205623562938626,69.12543469993398,68.9108984998893,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
0,0,0,0,2,0,2,0,,,,,,,,2.900092721118612,none,138.69618400848066,6.4144284560072,0.0012573051819841452,0,29,[],0.024086530320346355,None,None,71.71381129999645,71.71381129999645,0.2344796301331371,3.134572351251749,71.93080449989066,71.71381129999645,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
0,0,0,0,3,0,3,0,,,,,,,,2.860430720341207,none,220.16646839903714,7.669769534599128,0.0005463447292555694,0,30,[],0.022341429954394698,None,None,74.82473160000518,74.82473160000518,0.2241874299943447,3.084618150335552,75.04027460003272,74.82473160000518,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
0,0,0,0,4,0,4,0,,,,,,,,2.0176015292071154,none,988.5140203528965,1.2679988659376247,5.0598728485186493e-05,0,31,[],0.023790729930624366,None,None,77.89361159992404,77.89361159992404,0.22926713014021516,2.2468686593473306,78.11396989994682,77.89361159992404,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
0,0,0,0,5,0,5,0,,,,,,,,2.9434340502374807,none,,,,1,31,[],0.022437130101025105,None,None,80.12272810004652,80.12272810004652,0.23211632994934916,3.17555038018683,80.33895769994706,80.12272810004652,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
0,0,0,0,6,0,6,0,,,,,,,,1.6351100476787754,none,622.7248111794116,6.777734261507794,0.00011412608752356378,0,32,[],0.025030430173501372,None,None,83.2760350999888,83.2760350999888,0.2342298300936818,1.8693398777724572,83.49123080004938,83.2760350999888,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
0,0,0,0,7,0,7,0,,,,,,,,1.759054460112678,none,329.87697769322364,8.0,0.0002380236949658044,0,33,[],0.021630930015817285,None,None,85.11854339996353,85.11854339996353,0.22321313014253974,1.9822675902552178,85.33872150001116,85.11854339996353,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
1,0,1,0,0,0,0,0,,,,,"[0.5833333333333334, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.5833333333333334, 0.5833333333333334, 0.3333333333333333]",88.07987509993836,None,2.1421631105011296,time,831.2378961427879,1.379927744610122,4.6015216662936824e-05,0,27,[],0.024423730093985796,None,None,90.95145499985665,None,0.24081033002585173,2.3829734405269813,91.16892359987833,None,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
1,0,1,0,1,0,1,0,,,,,,,,2.1421631105011296,time,554.7847360339226,6.420360120869534,0.00013172148820736964,0,28,[],0.014742629835382104,None,None,93.30967830005102,93.30967830005102,0.21792482980526984,2.3600879403063995,93.5304455999285,93.30967830005102,,,,,,,tyrfqt,001,fr,2022-04-22_12h00.04.507,Continuous,2022.1.1,35.3073184109352,
