frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
5000,0,0,0,4,,,,,,,,,5000,30,up,35.655832266729945,None,None,None,up,1,1.9248337000608444,34.16446270002052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
850,0,1,1,2,,,,,,,,,850,30,left,39.25454536668646,None,None,None,left,1,1.0052410999778658,38.76471230003517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
450,0,2,2,1,,,,,,,,,450,30,up,43.46176676667916,None,None,None,up,1,2.006417600088753,42.003547800006345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
1300,0,3,3,3,,,,,,,,,1300,30,right,48.37802556675548,None,48.33124610001687,None,right,1,2.5591112000402063,45.91487940005027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
200,0,4,4,0,,,,,,,,,200,30,right,53.10322196671429,None,53.043253600015305,53.364731000037864,up,0,2.9633572000311688,50.629952900111675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,up,1000,30,0.0013930605843148849,0,0,-1,10,62.68202586676149,None,61.63709800003562,61.96437910001259,62.66535920009483,63.00057360006031,None,None,up,1,1.4489461000775918,61.697869700030424,None,None,None,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,right,1000,30,0.0013930605843148849,0,0,-1,10,66.71704466670441,None,64.66650540009141,64.98962900007609,65.6689584000269,65.99522280006204,66.65731310006231,66.97730510006659,right,1,2.599123200052418,64.72287110006437,None,67.22681670007296,None,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,left,1000,10,0.00013930605843148847,-1,0,-1,-10,68.87964546675018,None,68.83518380008172,69.17745960003231,69.83128730009776,70.15827900008298,None,None,left,1,1.3397718999767676,68.89455340011045,None,None,None,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,right,1000,10,0.00013930605843148847,-1,0,-1,-10,73.80069486675008,None,71.75208940007724,72.07676560000982,72.76045260007959,73.08222590002697,73.75489940005355,74.08855670003686,right,1,2.7755928999977186,71.81014360010158,None,74.29491090006195,None,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,-1,0,-1,-10,76.13220436667713,None,76.08254550001584,76.41523600008804,None,None,None,None,left,1,0.6459031000267714,76.14801990007982,None,None,None,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,right,1000,0,4.405244365040069e-05,-1,0,-1,-10,80.35637016670468,None,78.31463440007064,78.64031909999903,79.31312040006742,79.63500330003444,80.30788080010097,80.64349140005652,right,1,2.7597458999371156,78.37074920011219,None,80.8784113000147,None,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,right,1000,-10,1.3930605843148848e-05,-1,0,-1,-10,84.68335186673018,None,82.64106490008999,82.96760190010536,83.63997170003131,83.9658580000978,84.63668970006984,84.96695780009031,left,0,3.8540267000207677,82.69979670003522,None,85.20068580005318,None,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,right,1000,-5,2.4772509540239506e-05,1,1,1,5,90.11636776669572,None,88.05929590004962,88.39044160000049,89.06233169999905,89.39551500009838,90.06558410008438,90.39311620010994,right,1,3.327262199949473,88.12222790007945,None,90.62837000004947,None,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,up,1000,-5,2.4772509540239506e-05,1,1,1,5,93.99858736672128,None,92.95794930006377,93.28248350007925,93.95348130003549,94.27714420005213,94.94719450001139,95.2728603000287,up,1,3.074158300063573,93.01630110002588,None,95.50738439999986,None,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,up,1000,-15,7.833755350540743e-06,-1,2,-1,-5.0,98.65365246677926,None,97.60880950000137,97.93557840003632,98.60485800006427,98.94234540010802,99.58845180005301,99.91180040000472,up,1,2.964669100008905,97.63785930001177,None,100.14839330001269,None,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,left,1000,-15,7.833755350540743e-06,-1,2,-1,-5.0,102.12187906675196,None,102.10521240008529,102.4440494000446,103.09310110006481,103.4173509000102,104.09276670007966,104.41484830004629,up,0,3.2517370999557897,102.1335398000665,None,104.65029360004701,None,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,up,1000,-12.5,1.0446480654270193e-05,1,3,1,2.5,107.93209276668883,None,106.8923189000925,107.21515480009839,107.88626570010092,108.21976870007347,108.89295500004664,109.22883500007447,left,0,2.8827644999837503,106.95108170004096,None,109.43653120007366,None,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,right,1000,-10.0,1.3930605843148848e-05,1,3,1,2.5,113.40500516671842,None,111.36236220004503,111.68976190011017,112.3631470000837,112.70234090008307,113.35525470005814,113.6920898000244,left,0,2.92317369999364,111.39043430006132,None,113.90068110008724,None,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,right,1000,-7.5,1.8576761454858622e-05,1,3,1,2.5,117.87710956676553,None,115.8226157000754,116.15318730007857,116.82509740011301,117.15775650006253,117.82819200004451,118.14973810000811,right,1,2.379607099923305,115.88635690009687,None,None,None,,,,,,,udoety,001,0,fr,2022-05-03_11h47.16.565,3-AFC_adaptive_staircase_mess,2022.1.1,36.31006911300613,
