tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,tToo_early.rt,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,answer_too_early.rt,Audiogram_both,Audiogram_time,Audiogram_frequency,Audiogram_none,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,18.658441100036725,None,none,1000,30,0.0013930605843148849,False,1,"[0.7351322091120007, 0.7817875109907265, 0.711752786107428, 0.7283703568241627]","[189.69178515060395, 412.2208948308772, 962.4509137287283, 195.88637389169548]",None,"[30, 30, 30, 30]",31.905686700018123,35.063285500044,35.063285500044,36.293202899978496,['space'],1,[1.3625343999592587],35.063285500044,37.0005621999735,None,1,['space'],0,[1.9594025999540463],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
1,0,1,0,,,,,,,,,,,frequency,2500,30,0.002716251657462167,False,1,"[0.45801615580096644, 0.6984812096111266, 0.418125994102238, 0.6704983221637639]","[6299.605249474367, 5000.000000000001, 3968.502629920499, 3149.802624737183]",Major_3rd,"[30, 30, 30, 30]",45.19092029996682,47.7072724000318,47.7072724000318,48.942335800034925,['space'],1,[1.0541240000166],47.7072724000318,49.59501689998433,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
2,0,2,0,,,,,,,,,,,frequency,6000,30,0.003664122665694519,True,1,"[0.5693592735360559, 0.6107282980162059, 0.5527291668910194, 0.6421276785126717]","[1190.5507889761495, 1783.8106725040816, 2672.696154421018, 4004.5195625101032]",Perfect_5th,"[30, 30, 30, 30]",53.432382600032724,56.08988710003905,56.08988710003905,57.29840089997742,None,1,,56.08988710003905,57.93707230000291,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
3,0,3,0,,,,,,,,,,,both,440,30,0.0023562289915021436,False,1,"[0.4475114197217975, 0.4475114197217975, 0.4475114197217975, 0.4475114197217975]","[174.614115716502, 220.00000000000006, 277.18263097687213, 349.2282314330039]",Major_3rd,"[30, 30, 30, 30]",62.00928560004104,64.29470660001971,64.29470660001971,65.52651880006306,['space'],1,[0.9145640999777243],64.29470660001971,65.95863120001741,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
4,0,4,0,,,,,,,,,,,none,250,30,0.005296268625886445,True,1,"[0.4845190653227947, 0.4591252883003676, 0.65012077067675, 0.6143579349823274]","[1236.9638475409927, 1154.3052873219542, 130.05694294302853, 1603.0771208867611]",None,"[30, 30, 30, 30]",68.82180549995974,71.33843640005216,71.33843640005216,72.5646693999879,None,1,,71.33843640005216,73.18204510002397,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.9112896999577,None,space,18.48965370003134,78.9112896999577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.47224270005245,98.49183059995994,98.93485199001152,None,99.45932849000674,99.67231970001012,99.94388629000169,100.16201900003944,100.46136559003499,None,98.84855999995489,100.66589449997991,100.95719279004261,None,100.66589449997991,101.49566929996945,space,1.0594188999384642,101.65318669995759,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.65318669995759,None,102.77589239994995,103.79636080004275,104.22795908995904,None,104.54982189000584,None,105.22597799000796,105.44555589999072,105.62964779003524,None,104.1335865999572,105.95033140003216,106.22729349001311,106.44651270005852,105.95033140003216,106.76673240005039,space,0.8701043999753892,106.94687480002176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.94687480002176,None,107.88796630001161,108.89365440001711,109.36900429001544,None,109.86350089001935,110.08601400000043,110.36794969001785,None,110.86838199004997,None,109.28272170003038,111.0719597999705,111.36982488997747,111.58566380001139,111.0719597999705,111.88238269998692,space,0.9655453000450507,112.0835654999828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
,,,,0,0,0,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0835654999828,None,113.1208106999984,114.14300799998455,114.57438199005556,114.78916130005382,114.87692929005716,None,115.5870058900211,None,115.97189599000849,None,114.48012870003004,116.26239569997415,116.57234769004863,None,116.26239569997415,117.08139149995986,117.2754905000329,None,118.34712960000616,None,132.8174315999495,None,310.94109540877025,7.419576214029289,0.00024181517629379623,1,"[0.6436766507188791, 0.5450345099872909, 0.4982677455595672, 0.6067158688391727]","[783.5224627657597, 621.8821908175406, 493.58822195202623, 391.76123138287977]",Major_3rd,"[4.88041726909917, 8.0, 11.0, 12.805918243019232]",False,133.8148759000469,136.53299259999767,136.53299259999767,137.773191699991,['space'],1,[0.2370628999779001],3.344068210106343,4.3595690100919455,None,1,None,1,,,,,,,udoety,001,fr,0,0,2022-05-03_12h07.59.148,Cluster,2022.1.1,36.41952376907601,
