frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
450,0,0,0,1,,,,,,,,,450,30,left,48.25620536675366,None,None,None,left,1,1.0747839000541717,47.76935900002718,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
5000,0,1,1,4,,,,,,,,,5000,30,right,57.30366446666109,None,57.25031669996679,57.58116010017693,right,1,2.7913560001179576,54.8204251001589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
200,0,2,2,0,,,,,,,,,200,30,left,62.60869876674066,None,None,None,left,1,0.9100013000424951,62.12581510003656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
1300,0,3,3,3,,,,,,,,,1300,30,up,67.86563496670375,None,None,None,up,1,1.8238113999832422,66.38076600013301,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
850,0,4,4,2,,,,,,,,,850,30,left,71.30280486663493,71.53141180006787,None,None,left,1,0.9347629998810589,70.8371997999493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,up,1000,30,0.0013930605843148849,0,0,-1,10,91.12824736681456,None,90.09591899998486,90.43574680015445,91.1115807001479,91.44371290015988,None,None,up,1,1.3149850000627339,90.15431340015493,None,None,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,up,1000,30,0.0013930605843148849,0,0,-1,10,94.00109086680847,None,92.97843930008821,93.30803430010565,93.9844242001418,94.2974577001296,None,None,up,1,1.3554461000021547,93.00896200002171,None,None,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,left,1000,10,0.00013930605843148847,-1,0,-1,-10,95.91792146681497,None,95.8722948001232,96.21364840003662,None,None,None,None,left,1,0.530836199875921,95.93024330004118,None,None,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,99.03959606663945,None,97.97911780001596,98.30893620010465,98.99052600003779,99.30403340002522,None,None,up,1,1.3662564000114799,98.03747129999101,None,None,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,-1,0,-1,-10,101.96198166680212,None,100.9290516001638,101.26145250000991,101.91628500004299,102.25890010013245,None,None,up,1,1.3906276999041438,100.95774660003372,None,None,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,-1,0,-1,-10,103.89707136672611,None,103.88040470005944,104.19443590007722,None,None,None,None,left,1,0.580773799913004,103.91163550014608,None,None,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,up,1000,-10,1.3930605843148848e-05,-1,0,-1,-10,107.030002166812,None,106.00477360002697,106.3320163001772,106.98406150005758,107.32739110011607,107.98423580010422,108.31874170014635,right,0,2.699684399878606,106.03329390008003,None,108.56414939998649,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,left,1000,-5,2.4772509540239506e-05,1,1,1,5,110.26160216663654,None,110.21591280004941,110.56193960015662,111.24169090017676,111.58032470010221,112.23082860000432,112.56418810016476,left,1,3.6744646998122334,110.27442030003294,None,112.76942940009758,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,left,1000,-5,2.4772509540239506e-05,1,1,1,5,115.53313336667294,None,115.48669890011661,115.83057039999403,116.47902190010063,116.82071170001291,117.47579910000786,117.81101149995811,right,0,2.4829053001012653,115.5458722000476,None,118.04556320002303,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,right,1000,0,4.405244365040069e-05,1,1,1,5,121.58674176672163,None,119.52927790000103,119.86714990017936,120.54854570003226,120.88182450016029,121.53994309995323,121.88181790011004,right,1,2.489135299809277,119.58698430005461,None,122.10369500005618,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,1,1,1,5,124.64822526678132,None,123.60995170008391,123.94576310017146,124.60202959994785,124.94383220002055,None,None,right,0,1.505721600027755,123.67531500011683,None,None,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,left,1000,5,7.833755350540742e-05,1,1,1,5,126.73450006667214,None,126.71783340000547,127.03066210006364,127.70569900004193,128.03840339998715,None,None,left,1,1.5674693998880684,126.74854109995067,None,None,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,left,1000,5,7.833755350540742e-05,1,1,1,5,129.88665776682708,None,129.84007220016792,130.1825227001682,None,None,None,None,left,1,0.5773535999469459,129.89951320015825,None,None,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,right,1000,-5,2.4772509540239506e-05,-1,2,-1,-5.0,134.04112406663288,None,131.9752363001462,132.31780730001628,132.99786370014772,133.31570630008355,133.99351770011708,134.3301302001346,right,1,2.602546699810773,132.03411939996295,None,134.54199920012616,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
,,,,,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,right,1000,-5,2.4772509540239506e-05,-1,2,-1,-5.0,138.20240306674194,None,136.17766440007836,136.50802740012296,137.1640061000362,137.48117880010977,138.15655930014327,138.49948550015688,left,0,3.102566799847409,136.20652900007553,None,138.7088465001434,None,,,,,,,vqnuwy,001,0,fr,2022-05-10_10h48.57.345,3-AFC_adaptive_staircase_mess,2022.1.1,35.801821175071765,
