tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,Audiogram_time,Audiogram_frequency,Audiogram_both,Audiogram_none,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,15.72955990000628,None,none,1000,30,0.0013930605843148849,False,1,"[0.5728068348362143, 0.6399338543478771, 0.45034466295323333, 0.46308211045716774]","[2672.085063725157, 1219.219145030609, 137.73194203120346, 181.1833190298302]",None,"[30, 30, 30, 30]",34.347910600015894,36.94393860013224,36.94393860013224,38.15079180011526,['space'],1,[0.40774279995821416],36.94393860013224,38.61128710000776,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vqnuwy,001,fr,0,0,2022-05-10_10h33.47.531,Cluster,2022.1.1,36.490690288268084,
1,0,1,0,,,,,,,,,,,time,2500,30,0.002716251657462167,False,1,"[0.731454772123568, 0.731454772123568, 0.731454772123568, 0.731454772123568]","[1699.8534559229115, 2456.58113829084, 145.70743580843182, 254.77173543525896]",None,"[30, 30, 30, 30]",45.98997370013967,49.11231420002878,49.11231420002878,50.343320599989966,['space'],1,[0.3991906999144703],49.11231420002878,51.07153940014541,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vqnuwy,001,fr,0,0,2022-05-10_10h33.47.531,Cluster,2022.1.1,36.490690288268084,
2,0,2,0,,,,,,,,,,,time,6000,30,0.003664122665694519,True,1,"[0.6968233291798496, 0.6968233291798496, 0.6968233291798496, 0.6968233291798496]","[456.70082948757175, 1350.7253246759813, 727.3727019919876, 1722.7251915400122]",None,"[30, 30, 30, 30]",55.29908760008402,58.29996130010113,58.29996130010113,59.5010987999849,None,1,,58.29996130010113,60.22121710004285,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vqnuwy,001,fr,0,0,2022-05-10_10h33.47.531,Cluster,2022.1.1,36.490690288268084,
3,0,3,0,,,,,,,,,,,frequency,440,30,0.0023562289915021436,False,1,"[0.4350377787337094, 0.49815091686538904, 0.46814121434315864, 0.7629479849157345]","[277.182630976872, 311.12698372208087, 349.2282314330038, 391.99543598174927]",Tone,"[30, 30, 30, 30]",65.13462599995546,67.46506000007503,67.46506000007503,68.69090609997511,['space'],1,[1.1346812997944653],67.46506000007503,69.4488683999516,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vqnuwy,001,fr,0,0,2022-05-10_10h33.47.531,Cluster,2022.1.1,36.490690288268084,
4,0,4,0,,,,,,,,,,,frequency,250,30,0.005296268625886445,True,1,"[0.4414730645126375, 0.6032882916673612, 0.4223890215103233, 0.5875547014059659]","[1259.9210498948732, 840.8964152537146, 561.2310241546866, 374.5767692191704]",Perfect_5th,"[30, 30, 30, 30]",73.03488020016812,75.41769820009358,75.41769820009358,76.62558030011132,None,1,,75.41769820009358,77.23520680004731,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vqnuwy,001,fr,0,0,2022-05-10_10h33.47.531,Cluster,2022.1.1,36.490690288268084,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.31436720001511,None,space,41.06936639989726,80.31436720001511,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vqnuwy,001,fr,0,0,2022-05-10_10h33.47.531,Cluster,2022.1.1,36.490690288268084,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.44306190009229,122.44896499998868,122.91474566017277,None,123.43428126014769,None,123.91261125998571,None,124.43620516001246,None,122.8307370999828,124.61731470003724,124.93173166005872,None,124.61731470003724,125.44282810017467,space,1.651971000013873,125.61976170004345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vqnuwy,001,fr,0,0,2022-05-10_10h33.47.531,Cluster,2022.1.1,36.490690288268084,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.61976170004345,None,127.3311863001436,128.33409350016154,128.799090260081,129.01544950017706,129.09765946017578,129.3207273001317,129.7881492601242,None,130.18717416017316,130.41444459999911,128.68426940008067,130.49887470016256,130.79761276012286,131.01632840000093,130.49887470016256,131.3108806000091,space,2.132087300065905,131.49170330003835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vqnuwy,001,fr,0,0,2022-05-10_10h33.47.531,Cluster,2022.1.1,36.490690288268084,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.49170330003835,None,133.67616330017336,134.69287599995732,135.1567855599802,135.38182270014659,135.64751526005566,135.87634740001522,136.15840766010805,136.37532800016925,136.65610546004027,None,135.0377593000885,136.83436690014787,137.14891476011834,137.37735199998133,136.83436690014787,137.6622377000749,space,4.6190126000437886,137.8364620001521,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vqnuwy,001,fr,0,0,2022-05-10_10h33.47.531,Cluster,2022.1.1,36.490690288268084,
,,,,0,0,0,0,0,0,0,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.8364620001521,None,142.49450969998725,143.5190304000862,143.94732316015288,None,144.23996316003613,None,144.94355416009202,None,145.3409730600193,145.56495440006256,143.86140560009517,145.64818550017662,145.9465036600828,None,145.64818550017662,146.47318520001136,146.6496533001773,None,147.68390870001167,None,173.3401617000345,None,7099.946234023021,-2.146904814682626,0.00012047516773187276,1,"[0.55158384656122, 0.7156150875642744, 0.5451668372428946, 0.4500157294183763]","[391.2830376203567, 437.41046382323685, 5558.841397481129, 365.4690349594195]",None,"[5.741907487963515, 5.0, 4.2774474070648925, 6.0]",False,174.32231159997173,177.15860560000874,177.15860560000874,178.35782390017994,['space'],1,[0.42568410001695156],3.3028157399967313,4.310574339935556,None,1,None,1,,,,,,vqnuwy,001,fr,0,0,2022-05-10_10h33.47.531,Cluster,2022.1.1,36.490690288268084,
