sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,Intervals,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,,Audiogram_none,Audiogram_frequency,Audiogram_time,Audiogram_both,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,18.003531000111252,None,75.9376682001166,None,"[0.5833333333333334, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.16666666666666666, 0.16666666666666666, 0.5833333333333334]",77.97538620000705,None,2.255798592179305,time,250.0,-1.009002405292326,0.00014911450256165047,0,27,[],0.023886200040578842,0.22102530021220446,None,79.00118890008889,None,0.22102530021220446,2.4768238923915096,79.20886959997006,None,,,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
0,0,0,0,1,0,1,0,,,,,,,,2.255798592179305,time,354.0,-1.0,7.887248739356936e-05,0,28,[],0.02387849986553192,None,None,81.4560521999374,81.4560521999374,0.22973999986425042,2.4855385920435555,81.67846610001288,81.4560521999374,,,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
0,0,0,0,2,0,2,0,,,,,,,,2.255798592179305,time,198.0,-1.1793512205249537,0.00023809992800869582,0,29,[],0.016958100022748113,0.21075779991224408,['space'],83.92404319997877,83.92404319997877,0.21075779991224408,2.466556392091549,84.13626140006818,83.92404319997877,[-1.832468600012362],,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
0,0,0,0,3,0,3,0,,,,,,,,2.255798592179305,time,1001.0,-1.3262747323749136,3.785022173787866e-05,0,30,[],0.024082199903205037,None,['space'],86.38311180006713,86.38311180006713,0.22381070000119507,2.4796092921805,86.59256989997812,86.38311180006713,[-1.890558599960059],,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
0,0,0,0,4,0,4,0,,,,,,,,2.255798592179305,time,315.0,-0.04453864726834389,9.81167314032913e-05,0,31,[],0.017203399911522865,None,['space'],88.84458180004731,88.84458180004731,0.21148220007307827,2.4672807922523834,89.05949559994042,88.84458180004731,[-1.9679040000773966],,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
0,0,0,0,5,0,5,0,,,,,,,,2.255798592179305,time,,,,1,31,[],0.016486600041389465,None,None,91.31689010001719,91.31689010001719,0.2106250999495387,2.466423692128844,91.53137690015137,91.31689010001719,,,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
0,0,0,0,6,0,6,0,,,,,,,,2.255798592179305,time,132.0,-0.8586914198488563,0.0005982360875722957,0,32,[],0.025020799599587917,None,None,93.78380900016055,93.78380900016055,0.228688899660483,2.484487491839788,93.99539300007746,93.78380900016055,,,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
0,0,0,0,7,0,7,0,,,,,,,,2.255798592179305,time,668.0,-1.9062370026746238,3.840693584541602e-05,0,33,[],0.023837799904868007,None,['space'],96.24331900011748,96.24331900011748,0.22731139999814332,2.4831099921774484,96.4557163999416,96.24331900011748,[-2.0222265000920743],,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
0,0,0,0,8,0,8,0,,,,,,,,2.255798592179305,time,446.0,-1.0,6.61343155512842e-05,0,34,[],0.023664399748668075,None,['space'],98.71256040013395,98.71256040013395,0.22576759988442063,2.4815661920637258,98.92822380014695,98.71256040013395,[-2.0122038000263274],,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
0,0,0,0,9,0,9,0,,,,,,,,2.255798592179305,time,1262.0,-0.338453935788204,5.213953536917357e-05,0,35,[],0.021832700120285153,0.2179679002147168,['space'],101.17129359999672,101.17129359999672,0.2179679002147168,2.473766492394022,101.37653310014866,101.17129359999672,[-2.0708767999894917],,,,,,,,vqnuwy,001,fr,0,2022-05-10_10h19.17.781,Continuous,2022.1.1,33.89075720223212,
