frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
850,0,0,0,2,,,,,,,,,850,30,up,59.87993324005511,None,None,None,up,1,2.064761899993755,58.389863800024614,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wfoooa,001,0,fr,2022-05-04_10h56.16.460,3-AFC_adaptive_staircase_mess,2022.1.1,35.895171741209495,
450,0,1,1,1,,,,,,,,,450,30,left,64.13445954006166,64.36170880007558,None,None,left,1,0.9737778999842703,63.67205549997743,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wfoooa,001,0,fr,2022-05-04_10h56.16.460,3-AFC_adaptive_staircase_mess,2022.1.1,35.895171741209495,
1300,0,2,2,3,,,,,,,,,1300,30,up,68.75060893995688,None,None,None,up,1,1.9957502000033855,67.2911900000181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wfoooa,001,0,fr,2022-05-04_10h56.16.460,3-AFC_adaptive_staircase_mess,2022.1.1,35.895171741209495,
200,0,3,3,0,,,,,,,,,200,30,left,72.11850984003395,None,None,None,left,1,1.0368728999746963,71.65738750004675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wfoooa,001,0,fr,2022-05-04_10h56.16.460,3-AFC_adaptive_staircase_mess,2022.1.1,35.895171741209495,
5000,0,4,4,4,,,,,,,,,5000,30,up,76.58506074005273,76.80788259999827,None,None,up,1,1.9047234000172466,75.12486410001293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wfoooa,001,0,fr,2022-05-04_10h56.16.460,3-AFC_adaptive_staircase_mess,2022.1.1,35.895171741209495,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,right,1000,30,0.0013930605843148849,0,0,-1,10,96.84250264002476,97.06176369998138,94.78519470000174,95.103264400037,95.77356000000145,96.10194029996637,96.78233539999928,97.09442620002665,right,1,2.5670686999801546,94.84801299998071,None,97.33646420005243,None,,,,,,,wfoooa,001,0,fr,2022-05-04_10h56.16.460,3-AFC_adaptive_staircase_mess,2022.1.1,35.895171741209495,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,left,1000,30,0.0013930605843148849,0,0,-1,10,98.97718314004597,99.19617760006804,98.91824180004187,99.2251073999796,None,None,None,None,left,1,0.5464461999945343,98.97888479998801,None,None,None,,,,,,,wfoooa,001,0,fr,2022-05-04_10h56.16.460,3-AFC_adaptive_staircase_mess,2022.1.1,35.895171741209495,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,102.05323493997567,102.27551100007258,101.02087160001975,101.36215800000355,102.0247194999829,102.33248179999646,103.01999230007641,103.3217302999692,up,1,2.293009400018491,101.0565060999943,None,None,None,,,,,,,wfoooa,001,0,fr,2022-05-04_10h56.16.460,3-AFC_adaptive_staircase_mess,2022.1.1,35.895171741209495,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,right,1000,10,0.00013930605843148847,-1,0,-1,-10,106.86003654000815,None,104.82329139998183,105.12596069998108,105.81607140006963,106.13964269997086,106.83152110001538,107.15276119997725,right,1,2.5122116999700665,104.88583150005434,None,107.36286690004636,None,,,,,,,wfoooa,001,0,fr,2022-05-04_10h56.16.460,3-AFC_adaptive_staircase_mess,2022.1.1,35.895171741209495,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,-1,0,-1,-10,108.95394544005394,109.17340239998884,108.89560479996726,109.20214900001884,109.901705199969,110.21326740004588,110.89721079997253,111.2174648999935,left,1,3.2069142999826,108.95786450000014,None,111.46866160002537,None,,,,,,,wfoooa,001,0,fr,2022-05-04_10h56.16.460,3-AFC_adaptive_staircase_mess,2022.1.1,35.895171741209495,
,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,left,1000,0,4.405244365040069e-05,-1,0,-1,-10,113.72759244001936,None,113.66734050004743,113.99062499997672,114.68970870005433,115.0204530999763,115.67282900004648,116.00400700001046,left,1,2.5652877000393346,113.7285234000301,None,116.24326610006392,None,,,,,,,wfoooa,001,0,fr,2022-05-04_10h56.16.460,3-AFC_adaptive_staircase_mess,2022.1.1,35.895171741209495,
,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,left,1000,-10,1.3930605843148848e-05,-1,0,-1,-10,117.83170533999801,118.05175470001996,117.77327870007139,118.08369250001851,118.76611159997992,119.09287110005971,119.77269140002318,120.07530170003884,up,0,4.845636200043373,117.83225420000963,None,120.3141851000255,None,,,,,,,wfoooa,001,0,fr,2022-05-04_10h56.16.460,3-AFC_adaptive_staircase_mess,2022.1.1,35.895171741209495,
