tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,Catch trial answer,Audiogram_none,Audiogram_frequency,Audiogram_both,Audiogram_time,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,17.11483820003923,None,both,1000,30,0.0013930605843148849,False,1,"[0.43960883771270404, 0.43960883771270404, 0.43960883771270404, 0.43960883771270404]","[2519.8420997897465, 2000.0000000000002, 1587.4010519681997, 1259.9210498948732]",Major_3rd,"[30, 30, 30, 30]",39.8092380000744,42.06937929999549,42.06937929999549,43.272634500055574,['space'],1,[0.8429512000875548],42.06937929999549,43.73516800010111,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
1,0,1,0,,,,,,,,,,,both,2500,30,0.002716251657462167,False,1,"[0.7593033960212205, 0.7593033960212205, 0.7593033960212205, 0.7593033960212205]","[3968.502629920499, 3535.533905932738, 3149.802624737183, 2806.1551207734324]",Tone,"[30, 30, 30, 30]",51.50294480007142,54.71909550006967,54.71909550006967,55.937061300035566,['space'],1,[1.2482126000104472],54.71909550006967,56.68684870004654,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
2,0,2,0,,,,,,,,,,,none,6000,30,0.003664122665694519,True,1,"[0.7089942371346377, 0.44636047255359323, 0.5674608649636323, 0.43140344384862195]","[293.81684108500474, 542.2592830785444, 2145.8429223118524, 829.0758669880067]",None,"[30, 30, 30, 30]",59.33780670003034,61.9850089000538,61.9850089000538,63.18764110002667,None,1,,61.9850089000538,63.63973980001174,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
3,0,3,0,,,,,,,,,,,time,440,30,0.0023562289915021436,False,1,"[0.6674341323302128, 0.6674341323302128, 0.6674341323302128, 0.6674341323302128]","[288.40371985557385, 7277.910673144973, 7191.007893579843, 1004.7123123588216]",None,"[30, 30, 30, 30]",67.89551140007097,70.83100700005889,70.83100700005889,72.06503510009497,['space'],1,[1.2800187999382615],70.83100700005889,72.73167380003724,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
4,0,4,0,,,,,,,,,,,time,250,30,0.005296268625886445,True,1,"[0.5682324761228468, 0.5682324761228468, 0.5682324761228468, 0.5682324761228468]","[455.14988185203146, 396.1442548338012, 182.02853548811132, 1446.492771646612]",None,"[30, 30, 30, 30]",76.69386760005727,79.3422406000318,79.3422406000318,80.57560670003295,None,1,,79.3422406000318,81.1195554001024,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.86191980005242,None,space,21.16187870001886,83.86191980005242,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.08210100000724,106.1074734000722,106.54387430001516,106.76137640001252,107.02862500008196,107.24958960001823,107.55159299999941,None,108.04629940008745,None,106.4574279000517,108.22730710008182,108.52701280002948,108.74991220002994,108.22730710008182,109.04442640009802,space,2.681184299988672,109.2554801000515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.2554801000515,None,111.98137350007892,113.00693610007875,113.44830990005285,113.66936380008701,113.75258680006955,None,114.44415300006513,None,114.84223810005933,115.05756660003681,113.33170360000804,115.15111820003949,115.44592190003023,None,115.15111820003949,115.96050490008201,space,1.3508965000510216,116.1363990000682,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.1363990000682,None,117.52715580002405,118.54924000008032,118.99547780007124,119.21624640002847,119.51393010006286,119.72314330004156,119.9952637000708,120.22360590007156,120.51691759999376,120.7393291000044,118.90851590002421,120.6993466001004,121.00968020006549,121.22897040005773,120.6993466001004,121.52744330000132,space,1.303546700044535,121.70444750005845,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
,,,,0,0,0,0,0,0,0,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.70444750005845,None,123.05838580010459,124.07242620002944,124.50867709999439,124.7331854000222,124.81962670006324,125.03624570008833,125.50827350006439,125.73266290000174,125.9096237000078,126.12921560008544,124.42217550007626,126.21754680003505,126.5137727000285,None,126.21754680003505,127.03031790000387,127.23938680009451,None,128.25761030009016,None,140.10351830010768,None,6297.2542901351135,-2.0,0.00010316622298634152,1,"[0.7236405737023675, 0.7236405737023675, 0.7236405737023675, 0.7236405737023675]","[2756.651217454438, 3144.779683021538, 185.1360029047074, 1813.9577607649421]",None,"[5.0, 3.1903858144161164, 7.491982065261169, 9.283066987268136]",False,141.07255140005145,144.28960340004414,144.28960340004414,145.50446080008987,['space'],1,[0.4024487000424415],3.9041786999441683,4.9204921999480575,None,1,None,1,,,,,,,,,,,,wfoooa,001,fr,0,0,2022-05-04_11h35.25.053,Cluster,2022.1.1,35.60301357442,
