sweeps.thisRepN,sweeps.thisTrialN,sweeps.thisN,sweeps.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructions.started,instructions.stopped,blank_text.started,blank_text.stopped,,text.started,text.stopped,Delay,Prediction,Frequency,Volume,Psychopy_level,isCatchTrial,len(y),finished_audiograms,probe.started,probe.stopped,feedback.keys,feedback.started,feedback.stopped,ISI.started,ISI.stopped,text_2.started,text_2.stopped,feedback.rt,break_txt.started,break_txt.stopped,Intervals,Audiogram_both,Audiogram_frequency,Audiogram_time,Audiogram_none,participant,session,language (english or french),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,21.174173600040376,None,66.23763370001689,None,0.16666666666666666,69.4295640999917,None,1.652656110569509,frequency,708.0,1.5902783299332546,5.3230301874193045e-05,0,25,[],0.02273100009188056,None,None,70.43368439993355,None,0.22638390003703535,1.8790400106065444,70.64741259999573,None,,,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
0,0,0,0,1,0,1,0,,,,,,,,2.297961276074778,frequency,631.0,1.2376608746313664,5.889901860859264e-05,0,26,[],0.0163061999483034,0.21128699998371303,None,72.32666769996285,72.32666769996285,0.21128699998371303,2.509248276058491,72.5410063000163,72.32666769996285,,,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
0,0,0,0,2,0,2,0,,,,,,,,1.228381083936155,frequency,,,,1,26,[],0.023396499920636415,None,None,74.86037030001171,74.86037030001171,0.22719299991149455,1.4555740838476496,75.07648459996562,74.86037030001171,,,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
0,0,0,0,3,0,3,0,,,,,,,,1.1428389398453598,frequency,501.0,1.8116054072283356,8.782152021199738e-05,0,27,[],0.02259880001656711,None,None,76.32908209995367,76.32908209995367,0.22389240004122257,1.3667313398865824,76.54553509992547,76.32908209995367,,,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
0,0,0,0,4,0,4,0,,,,,,,,1.569706309600679,frequency,446.0,5.6200175451111125,0.00014171888947192538,0,28,[],0.02296950004529208,None,None,77.71684929996263,77.71684929996263,0.22850279998965561,1.7982091095903345,77.93609530001413,77.71684929996263,,,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
0,0,0,0,5,0,5,0,,,,,,,,2.3784304674921364,frequency,397.0,3.6102005636816084,0.00011718607538726204,0,29,[],0.01597790012601763,0.2101713001029566,['space'],79.53441550000571,79.53441550000571,0.2101713001029566,2.588601767595093,79.74756179994438,79.53441550000571,[-1.3089547000126913],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
0,0,0,0,6,0,6,0,,,,,,,,1.944384881037302,frequency,354.0,1.0,9.929457867117957e-05,0,30,[],0.0156099998857826,0.20886549993883818,['space'],82.1553467999911,82.1553467999911,0.20886549993883818,2.1532503809761403,82.37134059995878,82.1553467999911,[-2.074362299987115],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
0,0,0,0,7,0,7,0,,,,,,,,2.6898750729803282,frequency,315.0,1.4595101024787,0.00011666632276862125,0,31,[],0.015702400007285178,None,['space'],84.34059719997458,84.34059719997458,0.21016969997435808,2.9000447729546863,84.55706889997236,84.34059719997458,[-1.6195658999495208],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
0,0,0,0,8,0,8,0,,,,,,,,2.469408890737818,frequency,281.0,3.4779883721911,0.00020094485060518695,0,32,[],0.022595199989154935,None,['space'],87.2745194999734,87.2745194999734,0.23430500004906207,2.7037138907868803,87.49152209993917,87.2745194999734,[-2.4415333999786526],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
0,0,0,0,9,0,9,0,,,,,,,,1.0354990031875673,frequency,250.0,2.6382859997164756,0.0002269260242367931,0,33,[],0.022720799897797406,None,['space'],89.98421809996944,89.98421809996944,0.22927349992096424,1.2647725031085315,90.20505270001013,89.98421809996944,[-2.176324400003068],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
0,0,0,0,10,0,10,0,,,,,,,,2.9810711199906996,frequency,223.0,1.637830317673463,0.00026611255916899153,0,34,[],0.022643800009973347,None,['space'],91.25521109998226,91.25521109998226,0.22573179996106774,3.2068029199517674,91.4688284000149,91.25521109998226,[-0.7900580000132322],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
0,0,0,0,11,0,11,0,,,,,,,,1.2058830211888287,frequency,199.0,1.252671362105825,0.00031082916757399856,0,35,[],0.022809599991887808,None,None,94.47467959998176,94.47467959998176,0.22478639998007566,1.4306694211689044,94.6853279999923,94.47467959998176,,,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
0,0,0,0,12,0,12,0,,,,,,,,2.1504910309101772,frequency,177.0,1.3200798416270667,0.0004065255173355658,0,36,[],0.022479699924588203,None,['space'],95.91941780003253,95.91941780003253,0.22765190002974123,2.3781429309399185,96.14448389993049,95.91941780003253,[-0.8789675999432802],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
0,0,0,0,13,0,13,0,,,,,,,,2.4251238420897834,frequency,158.0,1.388996477085223,0.0005033072256055283,0,37,[],0.0225577000528574,None,None,98.31169579993002,98.31169579993002,0.22154140006750822,2.6466652421572916,98.5229890999617,98.31169579993002,,,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
0,0,0,0,14,0,14,0,,,,,,,,2.2232604133696605,frequency,141.0,1.126141913988731,0.000660603435772629,0,38,[],0.022270999965257943,None,['space'],100.97606659994926,100.97606659994926,0.22328359994571656,2.446544013315377,101.19042220001575,100.97606659994926,[-2.0948157999664545],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
1,0,1,0,0,0,0,0,,,,,0.5833333333333334,108.45474630000535,None,2.363833177343568,frequency,8000.0,1.0,0.0002036901389020564,0,39,[],0.023824499920010567,None,None,109.48199689993635,None,0.21921639994252473,2.5830495772860926,109.691526300041,None,,103.43218180001713,None,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
1,0,1,0,1,0,1,0,,,,,,,,1.8679398060337566,frequency,5339.0,0.49091546259309693,0.00014839972785587294,0,40,[],0.02220380015205592,None,['space'],112.07378450001124,112.07378450001124,0.22630890016444027,2.094248706198197,112.29185409995262,112.07378450001124,[-2.1047056999523193],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
1,0,1,0,2,0,2,0,,,,,,,,2.461991513191453,frequency,3563.0,-2.999647917282584,5.399654667673603e-05,0,41,[],0.022334500099532306,None,['space'],114.17828100000042,114.17828100000042,0.22913180012255907,2.691123313314012,114.39951210003346,114.17828100000042,[-1.7135744000552222],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
1,0,1,0,3,0,3,0,,,,,,,,2.3170952577406867,frequency,2378.0,1.0,9.334185073971266e-05,0,42,[],0.022516900091432035,None,['space'],116.88404000003356,116.88404000003356,0.22801700001582503,2.5451122577565117,117.09622049995232,116.88404000003356,[-2.2114811999490485],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
1,0,1,0,4,0,4,0,,,,,,,,1.068323687476932,frequency,1587.0,3.735250493612304,8.555505042256962e-05,0,43,[],0.02188480005133897,None,['space'],119.44001579994801,119.44001579994801,0.22425169998314232,1.2925753874600743,119.65603379998356,119.44001579994801,[-2.127998700016178],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
1,0,1,0,5,0,5,0,,,,,,,,1.771278836486767,frequency,1059.0,2.513318611662949,6.213093855496738e-05,0,44,[],0.02222430007532239,None,['space'],120.75168190000113,120.75168190000113,0.22420489997603,1.995483736462797,120.97018209996168,120.75168190000113,[-0.942752999952063],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
1,0,1,0,6,0,6,0,,,,,,,,2.1575689318405096,frequency,707.0,1.8756989432962397,5.511734985253547e-05,0,45,[],0.019390700035728514,0.21829089999664575,['space'],122.7618731999537,122.7618731999537,0.21829089999664575,2.3758598318371553,122.97545829997398,122.7618731999537,[-1.4653313000453636],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
1,0,1,0,7,0,7,0,,,,,,,,1.8306313661500206,frequency,472.0,1.6574303629853948,8.819673564257269e-05,0,46,[],0.022128400043584406,None,['space'],125.1563421000028,125.1563421000028,0.22466559999156743,2.0552969661415883,125.3733188000042,125.1563421000028,[-1.763118700007908],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
1,0,1,0,8,0,8,0,,,,,,,,2.360487831146715,frequency,,,,1,46,[],0.022204100037924945,None,['space'],127.23116660001688,127.23116660001688,0.22832620004191995,2.588814031188635,127.44880619994365,127.23116660001688,[-1.710751200094819],,,,,,,,wfoooa,001,fr,0,2022-05-04_11h19.08.860,Continuous,2022.1.1,None,
