tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,answer_too_late.rt,Audiogram_both,Audiogram_frequency,Audiogram_time,Audiogram_none,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,17.77151670004241,None,frequency,1000,30,0.0013930605843148849,False,1,"[0.7835756072739589, 0.7229640925625953, 0.5530852605137636, 0.6520071767228174]","[1587.4010519682001, 1414.2135623730956, 1259.9210498948735, 1122.4620483093731]",Tone,"[30, 30, 30, 30]",34.938282900024205,37.92167780001182,37.92167780001182,39.122703499975614,['space'],1,[0.48720019997563213],37.92167780001182,39.78950640000403,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
1,0,1,0,,,,,,,,,,,both,2500,30,0.002716251657462167,False,1,"[0.43242292156745965, 0.43242292156745965, 0.43242292156745965, 0.43242292156745965]","[3968.502629920499, 3535.533905932738, 3149.802624737183, 2806.1551207734324]",Tone,"[30, 30, 30, 30]",46.152213599998504,48.3775041999761,48.3775041999761,49.596890500048175,['space'],1,[0.4957254999317229],48.3775041999761,50.020910300081596,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
2,0,2,0,,,,,,,,,,,both,6000,30,0.003664122665694519,True,0,"[0.48779825126438475, 0.48779825126438475, 0.48779825126438475, 0.48779825126438475]","[2381.1015779523, 3000.000000000001, 3779.76314968462, 4762.203155904599]",Major_3rd,"[30, 30, 30, 30]",53.14059670001734,55.538696600007825,55.538696600007825,56.772852599970065,['space'],0,[0.40576630004215986],55.538696600007825,57.23141620005481,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
3,0,3,0,,,,,,,,,,,both,440,30,0.0023562289915021436,False,1,"[0.6938369498126005, 0.6938369498126005, 0.6938369498126005, 0.6938369498126005]","[698.456462866008, 622.253967444162, 554.3652619537443, 493.8833012561241]",Tone,"[30, 30, 30, 30]",61.86844230000861,64.87320330005605,64.87320330005605,66.09226180007681,['space'],1,[1.2954161999514326],64.87320330005605,66.79185739997774,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
4,0,4,0,,,,,,,,,,,both,250,30,0.005296268625886445,True,1,"[0.526691798436965, 0.526691798436965, 0.526691798436965, 0.526691798436965]","[1259.9210498948732, 840.8964152537146, 561.2310241546866, 374.5767692191704]",Perfect_5th,"[30, 30, 30, 30]",69.9436802000273,72.46111709997058,72.46111709997058,73.69056160002947,None,1,,72.46111709997058,74.20379409997258,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0016961999936,None,space,23.543434599996544,78.0016961999936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.61041149997618,102.62362710002344,103.08095788999927,None,103.58373758997769,None,104.087341890065,None,104.58338488996961,None,102.98692920000758,104.77521660004277,105.08893608998042,None,104.77521660004277,105.58767090004403,space,1.7785441000014544,105.76574359997176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.76574359997176,None,107.60512289998587,108.6310630000662,109.0617861900013,None,109.35576668996364,None,110.05530989004765,110.2743283000309,110.45704349000007,None,108.97479790006764,110.75718930002768,111.05909318998457,111.27421050006524,110.75718930002768,111.56124399998225,space,1.2455606000730768,111.77094429999124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.77094429999124,None,113.07646890007891,114.08156129997224,114.53145969004837,None,115.0445425900165,None,115.53174739002716,None,116.04517479005736,None,114.43729650008027,116.24111830000766,116.53199659006205,None,116.24111830000766,117.04222770000342,space,0.8713949000230059,117.2340070999926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
,,,,0,0,0,0,0,0,0,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.2340070999926,None,118.14176789997146,119.16884990001563,119.59963489007205,None,119.89135609006044,None,120.60204359001946,None,120.99245329000988,121.217946400051,119.50495790003333,121.30906470003538,121.5998538899934,None,121.30906470003538,122.14173530007247,122.30524370004423,None,123.34339280007407,None,139.2973015999887,None,1000.4726931086848,21.818442329398145,0.0005433591625998142,0,"[0.7616223670527232, 0.7616223670527232, 0.7616223670527232, 0.7616223670527232]","[290.3327460420101, 930.0985516973858, 2789.382976364909, 269.480663238778]",None,"[21.146209754046666, 26.93262277190714, 26.0, 20.0]",False,140.26508520008065,143.57557480002288,143.57557480002288,144.78345089999493,None,0,4.0853099196683615,5.098212819779292,None,1,['space'],0,[0.5138338999822736],,,,,,,,,,,,,,wquuex,001,fr,0,0,2022-05-06_17h51.35.568,Cluster,2022.1.1,35.554076509427134,
