frequencies,training_trials.thisRepN,training_trials.thisTrialN,training_trials.thisN,training_trials.thisIndex,frequencies.thisRepN,frequencies.thisTrialN,frequencies.thisN,frequencies.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tFrequency,tLevel,tCorrect,Tprobe.started,Tprobe.stopped,tTriangle_cue.started,tTriangle_cue.stopped,Tfeedback.keys,Tfeedback.corr,Tfeedback.rt,Tfeedback.started,Tfeedback.stopped,reversals_nTrials.routineEndVal,track_dir.routineEndVal,step_up.routineEndVal,Correct,Frequency,Level,Psychopy_Level,Direction,Reversals,Track_dir,Step,probe.started,probe.stopped,cross_cue.started,cross_cue.stopped,circle_cue.started,circle_cue.stopped,triangle_cue.started,triangle_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,memo.started,memo.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text.started,text.stopped,participant,session,skip_training,language (english or french),date,expName,psychopyVersion,frameRate,
1300,0,0,0,3,,,,,,,,,1300,30,right,81.27674583008047,None,81.24340520007536,81.56290280004032,left,0,4.997048299759626,78.81675650016405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wxbjqe,001,0,fr,2022-05-16_18h11.55.766,3-AFC_adaptive_staircase_mess,2022.1.1,30.066037035562026,
200,0,1,1,0,,,,,,,,,200,30,right,93.41799133003224,93.64607460005209,93.3551543999929,93.67338350019418,right,1,2.9438047998119146,90.95910320011899,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wxbjqe,001,0,fr,2022-05-16_18h11.55.766,3-AFC_adaptive_staircase_mess,2022.1.1,30.066037035562026,
450,0,2,2,1,,,,,,,,,450,30,right,101.16029553010594,101.37095620017499,101.09395100013353,101.40144350007176,right,1,3.0049514998681843,98.70542420004494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wxbjqe,001,0,fr,2022-05-16_18h11.55.766,3-AFC_adaptive_staircase_mess,2022.1.1,30.066037035562026,
5000,0,3,3,4,,,,,,,,,5000,30,right,112.52784852997866,None,112.49450789997354,112.81503619998693,right,1,2.8633198000025004,110.0867278999649,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wxbjqe,001,0,fr,2022-05-16_18h11.55.766,3-AFC_adaptive_staircase_mess,2022.1.1,30.066037035562026,
850,0,4,4,2,,,,,,,,,850,30,up,117.5928374301875,None,None,None,up,1,1.8022841999772936,116.14761820016429,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wxbjqe,001,0,fr,2022-05-16_18h11.55.766,3-AFC_adaptive_staircase_mess,2022.1.1,30.066037035562026,
,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,[],[],10,up,1000,30,0.0013930605843148849,0,0,-1,10,132.08245043002535,None,131.0038434001617,131.30397220002487,132.00349420006387,132.3354035001248,None,None,up,1,1.4055667999200523,131.06438660016283,None,None,None,,,,,,,wxbjqe,001,0,fr,2022-05-16_18h11.55.766,3-AFC_adaptive_staircase_mess,2022.1.1,30.066037035562026,
,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,left,1000,30,0.0013930605843148849,0,0,-1,10,134.01498333003838,None,133.98164270003326,134.29938870016485,None,None,None,None,left,1,0.48884839983657,134.01275690016337,None,None,None,,,,,,,wxbjqe,001,0,fr,2022-05-16_18h11.55.766,3-AFC_adaptive_staircase_mess,2022.1.1,30.066037035562026,
,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,137.04005453002173,None,135.99062290019356,136.32113900012337,136.97829140000977,137.30391210014932,None,None,up,1,1.6056385000701994,136.02482799999416,None,None,None,,,,,,,wxbjqe,001,0,fr,2022-05-16_18h11.55.766,3-AFC_adaptive_staircase_mess,2022.1.1,30.066037035562026,
,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,up,1000,10,0.00013930605843148847,-1,0,-1,-10,140.1979413301451,None,139.12735690013506,139.42782300012186,140.12907200003974,140.43109520012513,None,None,up,1,1.730799799785018,139.19477970013395,None,None,None,,,,,,,wxbjqe,001,0,fr,2022-05-16_18h11.55.766,3-AFC_adaptive_staircase_mess,2022.1.1,30.066037035562026,
,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,up,1000,0,4.405244365040069e-05,-1,0,-1,-10,None,None,142.3990277000703,None,None,None,None,None,up,1,-1.3938732999376953,142.4162653000094,None,None,None,,,,,,,wxbjqe,001,0,fr,2022-05-16_18h11.55.766,3-AFC_adaptive_staircase_mess,2022.1.1,30.066037035562026,
