practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,blank_txt.started,blank_txt.stopped,practice_frequency,practice_level,psychopy_volume,tProbe.started,tProbe.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_early.keys,tToo_early.corr,tToo_early.started,tToo_early.stopped,tToo_late.keys,tToo_late.corr,tToo_late.started,tToo_late.stopped,you_done_goofed.started,you_done_goofed.stopped,tToo_early.rt,Init_phase,Frequency,Level,Psychopy_Volume,Catch trial,probe.started,probe.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,too_late.keys,too_late.corr,too_late.started,too_late.stopped,too_late.rt,Audiogram,participant,session,Language (english or french),Tone duration (ms),date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,34.95977449999191,None,567,40,0.006099267302654233,1.0081196667160839,None,['space'],1,[0.5035716998390853],36.96620460017584,37.978168400004506,None,1,35.961128800176084,36.96620460017584,None,1,37.978168400004506,None,39.00691830017604,None,,,,,,,,,,,,,,,,,,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
1,0,1,0,,,,,,,234,40,0.019882976039061955,1.013637066585943,None,['space'],1,[0.28171250014565885],42.316290700109676,43.31789409997873,None,1,41.317150900140405,42.316290700109676,None,1,43.31789409997873,None,44.341585600050166,None,,,,,,,,,,,,,,,,,,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
2,0,2,0,,,,,,,2345,40,0.008245949202640053,1.0031628666911274,None,['space'],1,[0.4726097001694143],45.85335090011358,46.8545301000122,['space'],0,44.876146600116044,45.89207729999907,None,1,46.8545301000122,None,47.89247320010327,None,[0.36152550019323826],,,,,,,,,,,,,,,,,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,0,0,0,0,62.33556869998574,None,,,,,,,,,,,,,,,,,,,,,,"{'x': [], 'y': [], 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,60,0.0440524436504007,False,0.009988500038161874,None,['space'],1,[0.4023682998958975],63.43483170005493,64.45914630009793,None,1,64.45914630009793,None,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60]], 'y': [[1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,40,0.004405244365040069,False,0.00820870022289455,None,['space'],1,[0.3920909999869764],67.06964410003275,68.08125220006332,None,1,68.08125220006332,67.06964410003275,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40]], 'y': [[1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,20,0.0004405244365040069,False,0.014680299907922745,None,['space'],1,[0.46905989991500974],70.68937330017798,71.70538619998842,None,1,71.70538619998842,70.68937330017798,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20]], 'y': [[1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,0,4.405244365040069e-05,False,0.007456100080162287,None,['space'],1,[0.8076500000897795],74.31084530008957,75.33406889997423,None,1,75.33406889997423,74.31084530008957,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0]], 'y': [[1], [1], [1], [1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1000,-20,4.405244365040069e-06,False,0.009245000081136823,None,None,0,,78.28152219997719,79.29127739998512,None,1,79.29127739998512,78.28152219997719,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20]], 'y': [[1], [1], [1], [1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",1500,-10,1.527460556607758e-05,False,0.010775700211524963,None,None,0,,81.31439000018872,82.31963380007073,None,1,82.31963380007073,81.31439000018872,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,"{'x': [[1000, 60], [1000, 40], [1000, 20], [1000, 0], [1000, -20], [1500, -10]], 'y': [[1], [1], [1], [1], [-1], [-1]], 'audiogram': {}, 'is_init_phase': True, 'is_exam_finished': False, 'threshold_uncertainty_db': 6}",,,,True,0.012407033471390605,None,None,0,,84.96277820016257,85.96485620015301,None,1,85.96485620015301,84.96277820016257,,,wxbjqe,002,fr,200,2022-05-16_17h14.12.264,Bayesian,2022.1.1,None,
