tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.rt,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.rt,feedback.started,feedback.stopped,answer_too_late.keys,answer_too_late.corr,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,Catch trial answer,Audiogram_frequency,Audiogram_time,Audiogram_none,Audiogram_both,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,14.725238699931651,None,both,1000,30,0.0013930605843148849,False,1,"[0.5414797086393066, 0.5414797086393066, 0.5414797086393066, 0.5414797086393066]","[629.9605249474365, 707.1067811865474, 793.7005259840997, 890.8987181403393]",Tone,"[30, 30, 30, 30]",42.11923599988222,44.66809819987975,44.66809819987975,45.89169849990867,['space'],1,[0.6389146000146866],44.66809819987975,46.427393599879,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
1,0,1,0,,,,,,,,,,,time,2500,30,0.002716251657462167,False,1,"[0.6973513313876529, 0.6973513313876529, 0.6973513313876529, 0.6973513313876529]","[3552.6811779855743, 4880.930956951027, 900.4435823565775, 206.3840713316907]",None,"[30, 30, 30, 30]",59.18921409989707,62.19953690003604,62.19953690003604,63.40911759994924,['space'],1,[0.8851896999403834],62.19953690003604,64.10956609994173,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
2,0,2,0,,,,,,,,,,,both,6000,30,0.003664122665694519,True,0,"[0.7295998163064026, 0.7295998163064026, 0.7295998163064026, 0.7295998163064026]","[1190.5507889761495, 1783.8106725040816, 2672.696154421018, 4004.5195625101032]",Perfect_5th,"[30, 30, 30, 30]",73.23587849992327,76.35865339986049,76.35865339986049,77.572299499996,['space'],0,[0.5645490998867899],76.35865339986049,78.30522920005023,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
3,0,3,0,,,,,,,,,,,time,440,30,0.0023562289915021436,False,1,"[0.46538275894290815, 0.46538275894290815, 0.46538275894290815, 0.46538275894290815]","[306.79167598150934, 622.1103807752667, 1501.17000560865, 936.647758488344]",None,"[30, 30, 30, 30]",83.84834129991941,86.1663350998424,86.1663350998424,87.39893210004084,['space'],1,[0.7258148000109941],86.1663350998424,87.83298319997266,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
4,0,4,0,,,,,,,,,,,frequency,250,30,0.005296268625886445,True,0,"[0.6547171361291309, 0.7365856580346236, 0.4001886330573008, 0.4246119878031244]","[1259.9210498948732, 840.8964152537146, 561.2310241546866, 374.5767692191704]",Perfect_5th,"[30, 30, 30, 30]",91.11809780006297,93.83990779984742,93.83990779984742,95.06095179985277,['space'],0,[0.7715424001216888],93.83990779984742,95.47024569986388,None,1,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.34683230007067,None,n,40.93697310006246,98.34683230007067,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.33453870005906,140.35877100005746,140.8113397098379,141.03385080001317,141.31362811003345,141.52970479987562,141.78644451003055,None,142.29588310995604,None,140.719880099874,142.5235798000358,142.81600790999363,143.0363087998703,142.5235798000358,143.35753859998658,n,3.994143599877134,143.51386970002204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.51386970002204,None,147.57272169995122,148.59552209987305,149.02160141004714,None,149.32631170998792,149.54538100003265,150.0381892099278,None,150.4297231099801,None,148.92740699998103,150.7318223998882,151.0355114100268,None,150.7318223998882,151.56254049995914,n,5.019944600062445,151.7350971000269,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.7350971000269,None,156.816440399969,157.83852969994769,158.26483870989176,158.48912819987163,158.76560120999346,None,159.26642190983983,None,159.76547000992576,159.98189989989623,158.17145969998091,159.98189989989623,160.2708362100413,None,159.98189989989623,160.78750430000946,n,3.332735200179741,160.9985745998565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
,,,,0,0,0,0,0,0,0,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.9985745998565,None,164.3804388998542,165.4144396998454,165.83974020991008,None,166.1255171100376,None,166.83950000994372,None,167.24731590987648,167.4612067998387,165.74644949985668,167.52169559989125,167.83684881001244,168.06230430002324,167.52169559989125,168.34640449984,168.52403219998814,None,169.58733749995008,None,188.35984959988855,None,4990.893155550573,8.0,0.0003821067860516561,1,"[0.5968777234015672, 0.5968777234015672, 0.5968777234015672, 0.5968777234015672]","[7922.5490453818675, 7058.188788934674, 6288.131344454415, 5602.0881542725265]",Tone,"[22.874503533923686, 22.802176100514853, 21.0, 18.0]",False,189.3528744999785,192.17749859998003,192.17749859998003,193.4023263999261,['space'],1,[0.24974950007162988],3.4386439896188676,4.457708589499816,None,1,None,1,,,,,,,,,,,,,wxbjqe,001,fr,0,0,2022-05-16_17h20.40.211,Cluster,2022.1.1,34.75919009068691,
